substation id,substation name,status,owner,kv_12_to_32,kv_33_to_92,kv_110_to_161,kv_220_to_287,kv_345_to_500,kv_500_dc,highest_kv,postal city,county,zip code,state
SS1704,Monserate,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,Fallbrook,San Diego,92028,CA
SS1904,Monta Vista,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Cupertino,Santa Clara,95014,CA
SS1936,Monta Vista (Upper),Operational,PG&E,0,YES,YES,YES,0,0,220kV to 287kV,Cupertino,Santa Clara,95014,CA
SS1935,Montague,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,San Jose,Santa Clara,95131,CA
SS2027,Montague,Operational,PCORP,0,YES,0,0,0,0,33kV to 92kV,Montague,Siskiyou,96064,CA
SS2085,Monte Rio,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Monte Rio,Sonoma,95462,CA
SS3112,Montebello,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Montebello,Los Angeles,90640,CA
SS1100,Monterey,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Monterey,Monterey,93940,CA
SS1101,Monterey Navy Lab.,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Monterey,Monterey,93940,CA
SS1705,Montgomery,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,Chula Vista,San Diego,91910,CA
SS1119,Monticello,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Napa,Napa,94558,CA
SS2139,Montpellier,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Denair,Stanislaus,95316,CA
SS3568,Montrose,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Montrose,Los Angeles,91020,CA
SS3298,Moog,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Torrance,Los Angeles,90501,CA
SS3020,Mooney,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Visalia,Tulare,93277,CA
SS3576,Moonridge,Operational,Other,YES,0,0,0,0,0,12kV to 32kV,Big Bear City,San Bernardino,92314,CA
SS2674,Moore Rd.,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Redding,Shasta,96001,CA
SS2256,Moorpark,Operational,SCE,0,YES,0,YES,0,0,220kV to 287kV,Moorpark,Ventura,93021,CA
SS0152,Moraga,Operational,PG&E,0,0,YES,YES,0,0,220kV to 287kV,Orinda,Contra Costa,94563,CA
SS1317,Moraga,Operational,SCE,0,YES,YES,0,0,0,110kV to 161kV,Temecula,Riverside,92592,CA
SS1318,Moreno,Operational,SCE,0,YES,YES,0,0,0,110kV to 161kV,Moreno Valley,Riverside,92555,CA
SS0443,Morgan,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Bishop,Inyo,93514,CA
SS1937,Morgan Hill,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Morgan Hill,Santa Clara,95037,CA
SS1480,Morgan Hills-Sonoma Hills,Operational,SMUD,0,YES,0,0,0,0,33kV to 92kV,Sacramento,Sacramento,95828,CA
SS1792,Mormon,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Stockton,San Joaquin,95215,CA
SS2418,Morrison Creek,Operational,PCORP,0,YES,0,0,0,0,33kV to 92kV,Smith River,Del Norte,95567,CA
SS1179,Morro,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Laguna Beach,Orange,92651,CA
SS2324,Morro Bay,Operational,PG&E,0,0,YES,YES,0,0,220kV to 287kV,Morro Bay,San Luis Obispo,93442,CA
