substation,dist_feeders
JEWETT,1
JOHNSON,2
JOHNSTOWN,2
JUNIPER,1
KARNER,1
KNAPP RD,1
KNIGHTS CREEK,1
LABRADOR SUBSTATION,2
LAKE RD,1
LAKEVIEW,1
LAKEVILLE,1
LAKEVILLE SUBSTATION NO. 40,1
LANGFORD,1
LANSINGBURGH,2
LATHAM,1
LAWRENCE AVE,2
LEHIGH,1
LENOX,1
LERAY,1
LEVANT,1
LEVITT,1
LIBERTY,4
LIGHTHOUSE HILL,1
LIMA,1
LINDEN STATION,1
LISBON E.S.,1
LIVINGSTON COUNTY CORRECTIO,1
LIVONIA,1
LOON LAKE,1
LORDS HILL,1
LORINGS,1
LOWVILLE,2
LYME E.S.,1
LYNDONVILLE,1
LYNN,1
LYSANDER,1
Lake Colby Substation,4
Little River Substation,3
MACHIAS,2
MADISON,1
MALONE,3
MALTA,1
MAPLEHURST STA. NO.4,1
MAPLEWOOD,2
MARKET HILL,1
MAYFIELD,1
MC ADOO,1
MC CLELLAN,1
MC CREA ST.,1
MCGRAW,1
MENANDS,6
MERRILLVILLE,1
MEXICO,1
MIDDLEBURG,1
MIDDLEPORT,1
"MIDDLEVILLE, ie. HANSON (MIDDL",1
MIDLER,1
MILL ST.,1
MILLER ST.,1
MILTON,1
MINOA,2
MOIRA,1
MORRISTOWN,1
MUMFORD,1
McKOWNVILLE,2
N LEROY STATION,1
N. BANGOR,1
N. CHAUTAUQUA,1
N. EDEN,1
N. LAWRENCE,1
N. OLEAN,1
NASSAU,1
NEW HAVEN,1
NEW KRUMKILL,2
NEW WHITESVILLE,1
NEWARK ST,1
NEWTON FALLS,2
NEWTONVILLE,2
NICHOLVILLE,3
NILES,2
NORTH ASHFORD,1
NORTH BOMBAY,1
NORTH CARTHAGE,2
NORTH COLLINS,1
NORTH CREEK,2
NORTH GOVERNEUR,1
NORTH TROY,3
NORTHVILLE,2
NORWOOD,1
OAK HILL,1
OAKFIELD STATION,2
OATHOUT,1
OGDENBROOK,1
OGDENSBURG,3
OLD FORGE,2
ONEIDA,2
ORANGEVILLE STATION,1
OTTEN,1
PALOMA,1
PANAMA,1
PARISH,1
PARISHVILLE,1
PARK STREET,1
PARTRIDGE ST.,1
PATROON,2
PAUL SMITHS,1
PEAT STREET,1
PEBBLE HILL,2
PERRYSBURG,1
PERRYVILLE,1
PETERBORO,1
PETROLIA,1
PHOENIX,1
PIERCEFIELD,1
PINE GROVE,2
PINEBUSH,2
POLAND,1
POLAND SUBSTATION,1
POMPEY,1
PORT HENRY,1
PORT LEYDEN,1
PORTAGE ST.,1
POTTERSVILLE,1
PRICE CORNERS (DIST.) SUB,1
PROSPECT HILL,1
Pleasant,1
QUAIL HOLLOW,1
QUEENSBURY,3
RANDALL RD,2
RAQUETTE LAKE,1
RAYBROOK ES,1
RENSSELAER,1
REYNOLDS RD,3
RICHMOND,1
RIDGE ROAD,1
RIFLE RANGE,1
RIPARIUS,1
RIPLEY,1
RIVER RD,1
RIVERSIDE,3
RIVERVIEW,1
ROCK CITY,1
ROCK CITY FALLS,1
ROCK CUT,1
ROME,1
ROSA ROAD,2
ROTTERDAM,6
ROYALTON,1
RUSSELL RD,1
RUTH ROAD,1
S. PHILADELPHIA,2
SALISBURY ES,2
SAND CREEK ROAD,1
SAND ROAD & SAND ROAD#2,1
SANDY CREEK 66,1
SARATOGA,3
SCHENEVUS,1
SCHODACK,1
SCHOHARIE,1
SCHROON LAKE,1
SCHUYLER,2
SCHUYLERVILLE,1
SCOFIELD,1
SCOTIA,2
SELKIRK SUB,1
SEMINOLE,1
SENTINEL HEIGHTS,2
SEVENTH AVE. SUB.,1
