substation,amp_rating_bin,feeders,total_amps
CONESUS LAKE SUBSTATION,500+,2,1028
CONSTANTIA,301-400,1,313
CORFU STATION,301-400,2,640
CUYLER,201-300,1,208
DARIEN STATION,301-400,2,760
DELAMETER RD,301-400,4,1476
DELEVAN,301-400,2,762
DELPHI,301-400,3,1058
DORWIN,201-300,1,260
DORWIN,401-500,1,465
DORWIN,500+,2,1038
DUGUID,301-400,4,1342
DUGUID,401-500,1,492
E BATAVIA STATION,301-400,3,1020
E BATAVIA STATION,401-500,1,451
E. DUNKIRK,301-400,3,1079
EAGLE HARBOR,301-400,2,640
EAST GOLAH,301-400,4,1496
EAST GOLAH,401-500,1,430
EAST GOLAH,500+,1,510
EAST MOLLOY ROAD,401-500,4,1830
EDEN CENTER,500+,2,1030
ELBA STATION,500+,1,510
EUCLID,301-400,5,1749
EUCLID,401-500,1,494
FABIUS,301-400,1,313
FARMERSVILLE,301-400,2,630
FAYETTE STREET,201-300,1,253
FAYETTE STREET,301-400,4,1449
FAYETTE STREET,401-500,3,1236
FLY RD,301-400,1,329
FLY RD,401-500,3,1411
GALEVILLE SUBSTATION,401-500,3,1218
GASPORT,500+,2,1020
GENESEO,201-300,2,500
GILBERT MILLS,401-500,3,1380
GROVELAND,0-100,1,87
HANCOCK,401-500,2,932
HANCOCK #2,201-300,1,219
HARRIS ROAD,301-400,1,359
HARRIS ROAD,401-500,6,2579
HEMLOCK,500+,1,514
HINSDALE,301-400,2,780
HINSDALE,401-500,2,946
HOPKINS,301-400,3,1092
HOPKINS,401-500,4,1689
JEWETT,301-400,1,392
JEWETT,401-500,2,822
KNAPP RD,500+,3,1528
LABRADOR,101-200,1,110
LAKEVIEW,301-400,4,1496
LAKEVILLE,500+,2,1028
LANGFORD,401-500,1,476
LIMA,401-500,1,482
LINDEN STATION,201-300,1,247
LIVINGSTON COUNTY CORRECTIONAL,0-100,1,68
LIVONIA,301-400,1,390
LIVONIA,401-500,2,882
LORDS HILL,500+,2,1010
LYNDONVILLE,301-400,3,960
LYSANDER,301-400,2,724
LYSANDER,401-500,1,441
MACHIAS,500+,1,514
MCGRAW,201-300,1,247
MIDDLEPORT,301-400,3,960
MILLER ST.,301-400,2,713
MILTON AVE,301-400,1,395
MILTON AVE,401-500,3,1349
MILTON AVE,500+,1,519
MINOA,401-500,2,962
MUMFORD,401-500,3,1206
N LEROY STATION,401-500,3,1206
N. EDEN,401-500,1,408
NEW FRANKHAUSER  STATION,401-500,7,3220
NILES,201-300,1,220
NORTH ASHFORD,201-300,1,217
NORTH COLLINS,201-300,2,550
OAKFIELD STATION,301-400,2,640
OAKFIELD STATION,500+,1,514
ORANGEVILLE STATION,301-400,1,361
Ohio Childs (MITS),301-400,1,365
Ohio Childs (MITS),401-500,1,409
PARK STREET,301-400,4,1400
PEAT STREET,401-500,4,1705
PEBBLE HILL,301-400,4,1410
PERRYSBURG,201-300,1,250
PERRYVILLE,201-300,1,300
PHOENIX,401-500,2,870
PINE GROVE,301-400,3,1125
PINE GROVE,401-500,3,1431
PINE GROVE,500+,1,502
POMPEY,201-300,2,600
RICHMOND,201-300,3,852
RIDGE ROAD,401-500,1,421
ROCK CUT,301-400,2,730
ROCK CUT,401-500,4,1873
ROYALTON,401-500,2,874
SAND ROAD,301-400,2,750
SAND ROAD #2,201-300,1,219
SENTINEL HEIGHTS,101-200,1,184
SEVENTH NORTH,500+,1,514
SHELBY,301-400,5,1690
SHEPPARD STATION,101-200,2,400
SO. ROBERTS RD,301-400,2,796
SO. ROBERTS RD,401-500,2,860
SONORA WAY,500+,2,1028
SORRELL HILL,301-400,3,1087
SORRELL HILL,401-500,1,436
SOUTHLAND,500+,1,515
SOUTHWOOD,301-400,3,1132
SOUTHWOOD,401-500,1,481
SPRINGFIELD RD.,301-400,3,1003
STILES,401-500,2,814
TEALL AVE,301-400,5,1765
TEALL AVE,401-500,1,411
TEMPLE ST.,201-300,3,802
TEMPLE ST.,301-400,4,1297
TWO MILE CREEK STATION,401-500,2,850
TWO MILE CREEK STATION,500+,2,1028
W ALBION,401-500,2,960
W HAMLIN,301-400,4,1496
W HAMLIN,401-500,2,900
WATERPORT,301-400,1,347
WATERPORT,500+,2,1020
WEST MONROE,301-400,1,324
WEST VALLEY,201-300,1,285
WESTVALE,301-400,4,1442
WETHERSFIELD STATION,301-400,2,640
WETZEL RD SUBSTATION,500+,6,3084
YATES,201-300,1,300
YORK CTR,301-400,2,660
