zip,pop,state
95926,39012,06
95932,7742,06
95935,602,06
95938,4350,06
95946,9370,06
95955,1435,06
95959,17910,06
95965,20460,06
95966,29367,06
95970,551,06
95993,36962,06
95204,28425,06
95230,597,06
95231,5092,06
95246,1032,06
95247,4270,06
95315,14019,06
95689,1698,06
95325,77,06
95326,9888,06
95328,4518,06
95841,20586,06
95912,5010,06
95942,629,06
95944,29,06
95948,11173,06
95950,394,06
95953,10942,06
95956,290,06
95983,403,06
95987,6119,06
95334,16787,06
95337,37706,06
95356,32842,06
95363,26900,06
95383,3828,06
93265,3271,06
93287,96,06
93309,59378,06
93311,45763,06
93427,6071,06
92691,50782,06
92706,35083,06
92808,20667,06
92882,71581,06
92887,20194,06
92327,740,06
92307,39273,06
92003,5042,06
92021,71321,06
92059,1456,06
92024,51496,06
92028,49380,06
92070,829,06
92071,57511,06
92101,39313,06
92110,29911,06
92111,49369,06
92119,23990,06
92127,48721,06
92129,54986,06
92201,65347,06
92210,5049,06
92211,25339,06
92241,7904,06
92242,1306,06
92243,50484,06
92251,23388,06
92252,9394,06
92260,34225,06
92266,108,06
92267,5,06
92270,18075,06
92276,7772,06
93560,20929,06
93608,940,06
93669,164,06
93701,10274,06
93728,16382,06
93924,6568,06
93925,2155,06
93933,25015,06
93638,50894,06
93651,1915,06
93660,4228,06
93664,408,06
93667,2415,06
93673,740,06
93711,38349,06
93720,47270,06
93907,22766,06
93921,3379,06
93930,17142,06
93012,36225,06
93030,59755,06
93040,2007,06
93110,16660,06
93212,23424,06
93218,873,06
93260,228,06
93261,2715,06
93263,21572,06
93267,6347,06
93274,73778,06
93276,186,06
93422,33806,06
93455,45116,06
93612,35450,06
93621,94,06
93627,188,06
93634,21,06
92078,49034,06
92117,56173,06
92123,31216,06
92139,37040,06
92173,31866,06
92223,53914,06
92230,3406,06
92240,34447,06
92254,10385,06
92280,19,06
92313,12512,06
92316,28783,06
93528,138,06
93606,949,06
93624,1041,06
93648,16194,06
93654,30935,06
93656,6323,06
93010,45092,06
93446,44753,06
93451,4089,06
93254,858,06
93285,2085,06
93286,9755,06
93312,60238,06
93109,11573,06
93111,17263,06
93201,1431,06
93221,14328,06
93230,66800,06
93401,28423,06
93207,239,06
93544,1181,06
93727,82920,06
93204,12923,06
93238,1015,06
93266,1406,06
93428,5981,06
93434,7350,06
93440,1648,06
93535,72948,06
93510,7626,06
93513,1692,06
93517,526,06
93543,15135,06
93555,33742,06
93604,629,06
93614,11676,06
93625,7862,06
93630,20195,06
93631,16349,06
93637,39381,06
93641,198,06
93643,2960,06
93926,9262,06
90242,42553,06
90620,46842,06
90623,15813,06
90630,49169,06
90713,29061,06
90715,20136,06
95623,3730,06
95140,115,06
95937,1442,06
95939,673,06
95951,2788,06
95960,825,06
95979,430,06
95981,32,06
95991,40684,06
95003,24837,06
95012,10792,06
95017,603,06
92278,4737,06
92282,1373,06
92304,21,06
92305,622,06
92320,8597,06
92338,0,06
92356,6065,06
92382,4709,06
92384,13,06
92411,26563,06
92530,56511,06
92583,32692,06
92585,21732,06
92595,33642,06
91945,27193,06
91377,13730,06
91403,25218,06
91411,25801,06
91506,18575,06
91752,33135,06
91754,33058,06
91763,38406,06
91765,47139,06
91709,79298,06
91731,30139,06
91733,44968,06
91737,25339,06
91741,26565,06
91745,54975,06
91768,35389,06
91780,35351,06
91792,29839,06
91917,920,06
91931,496,06
91325,34635,06
91326,37035,06
91345,19205,06
91356,30804,06
91402,70686,06
91436,15070,06
91501,20300,06
91605,52210,06
91723,18875,06
91739,39803,06
93015,17817,06
93117,58431,06
93202,3777,06
93223,10742,06
93244,395,06
93277,53015,06
93292,41031,06
93305,38725,06
93313,52637,06
93405,36550,06
93424,776,06
93432,1125,06
93433,13538,06
93450,806,06
93460,4929,06
93465,8914,06
93532,2871,06
93550,77006,06
93551,51085,06
93561,34839,06
93563,408,06
93522,56,06
93602,3967,06
93605,188,06
93610,23607,06
93644,8981,06
93662,30922,06
93668,1173,06
93704,29294,06
93726,43209,06
93906,65256,06
93908,12093,06
93923,12833,06
93665,875,06
93702,44139,06
93705,37707,06
93706,40936,06
93710,32625,06
93905,60408,06
93940,32411,06
95130,14863,06
95138,20766,06
95210,41117,06
95233,567,06
95237,3531,06
95255,1358,06
95257,433,06
95306,882,06
95307,44736,06
95316,6616,06
95335,201,06
95336,47612,06
95526,210,06
95548,1224,06
95555,337,06
95570,2274,06
95573,1554,06
91316,29964,06
91504,26863,06
91724,26091,06
91103,28425,06
91008,1141,06
91046,143,06
91210,689,06
91330,3273,06
91371,0,06
91387,43717,06
90716,14344,06
90717,21696,06
90731,61850,06
90744,57206,06
90746,26996,06
90822,139,06
90008,31739,06
90013,11937,06
90016,46581,06
90017,26728,06
90036,37988,06
91740,26115,06
91744,87240,06
91746,30708,06
91750,33836,06
91759,374,06
91762,60699,06
94062,27757,06
94080,67597,06
94114,34754,06
94402,25764,06
94519,20121,06
94563,19341,06
94520,38568,06
94538,68111,06
94559,27523,06
94578,41059,06
94580,29942,06
92602,26044,06
92661,3225,06
