pop,state,zip
7924,36,12033
14429,36,12019
591,36,12022
8171,36,12043
1551,36,12060
42868,36,12065
3760,36,12083
25917,36,14623
3493,36,12809
17228,36,12831
4182,36,12833
2362,36,12958
376,36,12017
2134,36,12023
1104,36,12029
196,36,12042
475,36,12045
1784,36,12066
6823,36,12077
23381,36,12078
4959,36,12084
1505,36,12086
395,36,12108
3094,36,12117
4313,36,12122
5492,36,12123
4414,36,12148
749,36,14825
20451,36,14845
1561,36,14880
4670,36,14883
4210,36,14891
212,36,12961
410,36,12969
984,36,12970
1276,36,12980
2119,36,12912
8084,36,14892
1253,36,14894
811,36,14897
7584,36,14903
15480,36,14904
604,36,14816
5225,36,14727
2201,36,14747
4483,36,14750
1063,36,14480
5910,36,14487
1346,36,14506
561,36,14536
3360,36,14543
3764,36,14548
6065,36,14568
1313,36,14571
16750,36,14607
24542,36,14620
2840,36,14715
2931,36,14735
1809,36,14741
594,36,14754
361,36,14783
612,36,14808
3080,36,14755
4739,36,14787
5379,36,14801
471,36,14824
782,36,14839
2712,36,14840
12911,36,14843
2395,36,14847
5548,36,14867
4879,36,14871
4072,36,14882
15965,36,14901
8593,36,14905
2089,36,14781
811,36,14815
2090,36,14879
1785,36,14145
41035,36,14450
52587,36,14580
484,36,14878
20198,36,14051
77,36,14035
1666,36,12116
85,36,12131
156,36,12139
1657,36,12059
2591,36,12183
1194,36,12932
3815,36,12027
4444,36,12037
6139,36,12090
1632,36,12093
2427,36,12106
699,36,12136
20272,36,12144
191,36,12165
2053,36,12168
570,36,12175
851,36,12190
137,36,12407
1078,36,12489
549,36,12433
308,36,12435
851,36,12456
210,36,12492
628,36,12494
19747,36,12508
2905,36,12514
5988,36,12518
1431,36,12521
12871,36,12528
2730,36,12529
3323,36,12531
1972,36,12577
870,36,12585
12129,36,12586
689,36,12732
1642,36,12733
1762,36,12137
347,36,12164
1193,36,12166
14928,36,12182
6047,36,12186
1027,36,12153
1151,36,12156
6852,36,12158
2100,36,12173
113,36,12720
251,36,12752
648,36,12763
794,36,12768
293,36,12770
328,36,12808
747,36,12810
1354,36,12814
323,36,12819
970,36,12824
698,36,12836
420,36,12843
269,36,12844
346,36,12849
629,36,12857
2489,36,12859
612,36,12861
856,36,12873
4885,36,12883
32846,36,12901
2006,36,12910
262,36,12927
1858,36,12928
1651,36,12935
409,36,12936
1108,36,12959
1602,36,12974
2223,36,12979
2301,36,12981
4517,36,12992
121,36,12194
166,36,14041
389,36,14061
1131,36,14109
18,36,14112
531,36,14126
165,36,14130
123,36,14135
774,36,10527
7551,36,10533
16545,36,10538
7737,36,10547
3817,36,10548
20563,36,10567
12893,36,10570
16600,36,10606
41759,36,10801
12544,36,10803
14753,36,10804
19215,36,10805
4361,36,10916
12081,36,10927
49068,36,10940
64882,36,10977
13943,36,10980
3157,36,10998
3028,36,10004
92805,36,10025
29882,36,10030
21139,36,10037
19569,36,10552
6373,36,10577
8751,36,10589
8341,36,10595
11612,36,10601
17843,36,10603
23538,36,10901
1855,36,10917
12287,36,10918
1379,36,10969
3175,36,10974
6178,36,10983
0,36,10271
61741,36,10312
76078,36,10452
76756,36,10462
59609,36,10473
1394,36,10501
5693,36,10506
8831,36,10005
33730,36,10010
51057,36,10016
15801,36,10017
39363,36,10026
59607,36,10033
5085,36,10069
0,36,10111
0,36,10115
59256,36,10128
0,36,10153
0,36,10169
23262,36,10310
8036,36,12009
5404,36,12025
20935,36,12047
1597,36,12052
1656,36,12058
400,36,12063
380,36,12064
1514,36,12076
623,36,12120
1385,36,12125
895,36,12150
10952,36,12188
1954,36,12192
1688,36,12207
6115,36,12307
652,36,12405
389,36,12411
3006,36,12015
33456,36,12020
182,36,12031
224,36,12036
2325,36,14813
1310,36,14861
726,36,14885
9549,36,14001
1708,36,14013
3433,36,12449
2804,36,12458
196,36,12459
1718,36,12461
252,36,12471
1567,36,14024
42471,36,14075
3130,36,14081
1111,36,14091
30297,36,14127
834,36,14836
64484,36,14850
2981,36,14865
645,36,14872
2578,36,14873
324,36,14881
5915,36,14569
28198,36,14606
22589,36,14617
22602,36,14618
22974,36,14217
2746,36,14716
1973,36,14005
10301,36,14031
92,36,14039
1471,36,14054
1951,36,14058
6847,36,14070
604,36,14082
7306,36,14085
588,36,14026
3337,36,14111
22280,36,14216
1033,36,14728
695,36,14777
743,36,14846
9354,36,14895
9949,36,14006
16613,36,14615
23980,36,14220
22103,36,14228
14176,36,14411
20925,36,14420
4631,36,14423
27717,36,14424
11439,36,14437
332,36,14441
1526,36,14478
2243,36,14604
14050,36,14610
16630,36,14611
1988,36,14718
3424,36,14719
6421,36,12051
4621,36,12053
16649,36,12054
2743,36,12056
2036,36,12057
1860,36,12070
2850,36,12075
1053,36,12087
15218,36,12118
1597,36,12121
1552,36,12140
4800,36,12143
2807,36,12154
1809,36,12155
4228,36,12157
2737,36,12167
926,36,12751
1583,36,12764
850,36,12777
46,36,12784
2717,36,12788
1952,36,12789
413,36,12847
485,36,12791
2119,36,12817
13265,36,12839
368,36,12851
137,36,12856
4492,36,12871
3121,36,12919
2464,36,12921
39,36,12922
1370,36,12956
4351,36,14737
619,36,14748
3298,36,14757
4251,36,14802
2556,36,14817
3186,36,14821
530,36,12838
3243,36,12846
39178,36,12866
4432,36,12885
1215,36,12903
183,36,06390
771,36,13752
1148,36,13755
352,36,13777
384,36,13786
3502,36,13787
32,36,14168
94,36,14169
387,36,14173
5736,36,14261
109,36,14302
73870,36,10469
12389,36,10514
1572,36,10526
868,36,10578
23077,36,10591
18643,36,10605
59312,36,10701
74993,36,10002
79597,36,10029
60254,36,10031
42910,36,10034
44571,36,10040
0,36,10103
0,36,10154
0,36,10173
49310,36,11237
55200,36,11354
23362,36,11356
19621,36,11360
18721,36,11362
14650,36,11366
32514,36,11370
1332,36,12917
520,36,12503
1594,36,12463
2671,36,12484
5005,36,12498
1512,36,12523
2858,36,12525
3639,36,12526
25406,36,12533
4750,36,12545
1165,36,12565
10268,36,12569
8596,36,12572
1243,36,12592
1791,36,12729
1782,36,12737
328,36,12738
1958,36,12740
6608,36,12754
3908,36,12758
1072,36,12815
6123,36,12822
3665,36,12827
0,36,11371
42653,36,11374
37851,36,11379
49618,36,11419
32082,36,11422
18929,36,11428
36489,36,11433
7286,36,11507
33484,36,11510
7480,36,11557
4704,36,11568
16546,36,11575
15234,36,11004
1749,36,11005
9215,36,11023
690,36,11965
8006,36,11934
102624,36,11211
61844,36,11372
5604,36,11980
10561,36,11596
41407,36,11217
7670,36,11516
38063,36,11779
17694,36,11790
28018,36,11803
5404,36,11940
922,36,11948
12391,36,11951
9070,36,11740
88349,36,11206
6952,36,11363
2045,36,12937
4790,36,12946
735,36,12950
1277,36,12985
1833,36,14814
2129,36,14818
834,36,14820
529,36,14841
832,36,14842
9565,36,14870
7130,36,14886
8284,36,14057
6632,36,14068
721,36,14069
1972,36,14101
1163,36,14102
14676,36,14063
1763,36,14065
5328,36,14067
4158,36,14080
32671,36,14086
1470,36,14129
2006,36,14138
7497,36,14141
3474,36,14202
7410,36,14209
39962,36,14215
11848,36,14425
12092,36,14219
40590,36,14224
29700,36,14226
7875,36,14445
7555,36,14464
7548,36,14470
10545,36,14502
13970,36,14513
3063,36,14517
2357,36,14521
9231,36,14522
180,36,14545
18937,36,14559
2142,36,14560
4910,36,14572
95,36,14585
11897,36,14586
42042,36,14609
27616,36,14616
223,36,14708
505,36,14717
1829,36,14726
270,36,14736
2746,36,14739
1148,36,14753
2146,36,14767
2777,36,14770
1315,36,14008
107,36,12841
811,36,12842
4647,36,12845
428,36,12852
113,36,12858
597,36,12860
729,36,12863
3688,36,12865
222,36,12169
517,36,12176
2262,36,12185
9624,36,12202
609,36,12008
929,36,12028
856,36,12035
9325,36,12061
706,36,12092
22041,36,12110
529,36,12147
872,36,12160
53437,36,12180
6871,36,12184
3371,36,12196
7772,36,12198
21896,36,12208
9706,36,12210
562,36,12412
1089,36,12423
392,36,12427
754,36,12434
785,36,12442
464,36,12448
4891,36,10576
16465,36,10549
10429,36,10553
4825,36,10560
17391,36,10580
160,36,12769
240,36,12781
28,36,12811
5,36,12862
24,36,12864
47,36,12872
539,36,12884
792,36,12151
27212,36,12205
653,36,12464
1558,36,12486
4833,36,12522
2028,36,12575
88,36,12924
3916,36,12929
52,36,12933
211,36,12939
86,36,12973
264,36,12975
90036,36,11219
100277,36,11226
44994,36,11228
100331,36,11236
6189,36,14706
1450,36,14709
3268,36,14710
1915,36,14711
897,36,14729
9470,36,14011
22642,36,14020
1775,36,14030
5792,36,14132
11680,36,14201
19869,36,14206
14723,36,14210
14037,36,14222
12594,36,14301
29375,36,14304
11188,36,14454
1482,36,14466
6071,36,14469
8421,36,14472
1873,36,14504
1236,36,14507
6821,36,14514
4389,36,14532
2021,36,14533
70156,36,11215
1064,36,14555
1013,36,14769
1115,36,14731
1080,36,14805
3366,36,14812
603,36,12604
92,36,12722
143,36,12745
417,36,12750
136,36,12767
213,36,12976
1849,36,12977
303,36,12978
1199,36,12997
363,36,12998
7371,36,12983
198,36,12987
2815,36,12413
573,36,12418
540,36,12419
307,36,12422
294,36,12429
1147,36,12430
3378,36,12443
480,36,12470
18162,36,12477
354,36,12513
8071,36,12540
2947,36,12520
1502,36,12485
233,36,12493
1640,36,12516
15964,36,12524
17967,36,12534
5537,36,12542
9999,36,12571
41539,36,12601
2160,36,12748
416,36,12760
1095,36,12765
1986,36,12775
628,36,12778
1992,36,12783
2766,36,12821
6286,36,12834
1079,36,14740
1780,36,14743
18163,36,14760
6785,36,14779
1402,36,14804
2015,36,14806
2946,36,14807
745,36,14819
4570,36,14105
1666,36,14203
8649,36,14204
54081,36,14221
33328,36,14225
3248,36,14062
11083,36,14092
2905,36,14098
6082,36,14108
4551,36,14136
940,36,14143
49170,36,14094
10541,36,14103
5039,36,14131
2800,36,14034
3966,36,14042
6298,36,14047
14177,36,14048
16614,36,14052
31251,36,12203
7628,36,12204
15944,36,12206
28221,36,12010
7324,36,12018
853,36,12032
638,36,12041
1025,36,12046
3083,36,12068
398,36,12071
2884,36,12072
2895,36,12074
12228,36,12095
3300,36,12138
2388,36,12149
7845,36,12159
5061,36,12170
1828,36,12193
2023,36,12197
