pop,state,zip
39012,06,95926
7742,06,95932
602,06,95935
4350,06,95938
9370,06,95946
1435,06,95955
17910,06,95959
20460,06,95965
29367,06,95966
551,06,95970
36962,06,95993
28425,06,95204
597,06,95230
5092,06,95231
1032,06,95246
4270,06,95247
14019,06,95315
1698,06,95689
77,06,95325
9888,06,95326
4518,06,95328
20586,06,95841
5010,06,95912
629,06,95942
29,06,95944
11173,06,95948
394,06,95950
10942,06,95953
290,06,95956
403,06,95983
6119,06,95987
16787,06,95334
37706,06,95337
32842,06,95356
26900,06,95363
3828,06,95383
3271,06,93265
96,06,93287
59378,06,93309
45763,06,93311
6071,06,93427
50782,06,92691
35083,06,92706
20667,06,92808
71581,06,92882
20194,06,92887
740,06,92327
39273,06,92307
5042,06,92003
71321,06,92021
1456,06,92059
51496,06,92024
49380,06,92028
829,06,92070
57511,06,92071
39313,06,92101
29911,06,92110
49369,06,92111
23990,06,92119
48721,06,92127
54986,06,92129
65347,06,92201
5049,06,92210
25339,06,92211
7904,06,92241
1306,06,92242
50484,06,92243
23388,06,92251
9394,06,92252
34225,06,92260
108,06,92266
5,06,92267
18075,06,92270
7772,06,92276
20929,06,93560
940,06,93608
164,06,93669
10274,06,93701
16382,06,93728
6568,06,93924
2155,06,93925
25015,06,93933
50894,06,93638
1915,06,93651
4228,06,93660
408,06,93664
2415,06,93667
740,06,93673
38349,06,93711
47270,06,93720
22766,06,93907
3379,06,93921
17142,06,93930
36225,06,93012
59755,06,93030
2007,06,93040
16660,06,93110
23424,06,93212
873,06,93218
228,06,93260
2715,06,93261
21572,06,93263
6347,06,93267
73778,06,93274
186,06,93276
33806,06,93422
45116,06,93455
35450,06,93612
94,06,93621
188,06,93627
21,06,93634
49034,06,92078
56173,06,92117
31216,06,92123
37040,06,92139
31866,06,92173
53914,06,92223
3406,06,92230
34447,06,92240
10385,06,92254
19,06,92280
12512,06,92313
28783,06,92316
138,06,93528
949,06,93606
1041,06,93624
16194,06,93648
30935,06,93654
6323,06,93656
45092,06,93010
44753,06,93446
4089,06,93451
858,06,93254
2085,06,93285
9755,06,93286
60238,06,93312
11573,06,93109
17263,06,93111
1431,06,93201
14328,06,93221
66800,06,93230
28423,06,93401
239,06,93207
1181,06,93544
82920,06,93727
12923,06,93204
1015,06,93238
1406,06,93266
5981,06,93428
7350,06,93434
1648,06,93440
72948,06,93535
7626,06,93510
1692,06,93513
526,06,93517
15135,06,93543
33742,06,93555
629,06,93604
11676,06,93614
7862,06,93625
20195,06,93630
16349,06,93631
39381,06,93637
198,06,93641
2960,06,93643
9262,06,93926
42553,06,90242
46842,06,90620
15813,06,90623
49169,06,90630
29061,06,90713
20136,06,90715
3730,06,95623
115,06,95140
1442,06,95937
673,06,95939
2788,06,95951
825,06,95960
430,06,95979
32,06,95981
40684,06,95991
24837,06,95003
10792,06,95012
603,06,95017
4737,06,92278
1373,06,92282
21,06,92304
622,06,92305
8597,06,92320
0,06,92338
6065,06,92356
4709,06,92382
13,06,92384
26563,06,92411
56511,06,92530
32692,06,92583
21732,06,92585
33642,06,92595
27193,06,91945
13730,06,91377
25218,06,91403
25801,06,91411
18575,06,91506
33135,06,91752
33058,06,91754
38406,06,91763
47139,06,91765
79298,06,91709
30139,06,91731
44968,06,91733
25339,06,91737
26565,06,91741
54975,06,91745
35389,06,91768
35351,06,91780
29839,06,91792
920,06,91917
496,06,91931
34635,06,91325
37035,06,91326
19205,06,91345
30804,06,91356
70686,06,91402
15070,06,91436
20300,06,91501
52210,06,91605
18875,06,91723
39803,06,91739
17817,06,93015
58431,06,93117
3777,06,93202
10742,06,93223
395,06,93244
53015,06,93277
41031,06,93292
38725,06,93305
52637,06,93313
36550,06,93405
776,06,93424
1125,06,93432
13538,06,93433
806,06,93450
4929,06,93460
8914,06,93465
2871,06,93532
77006,06,93550
51085,06,93551
34839,06,93561
408,06,93563
56,06,93522
3967,06,93602
188,06,93605
23607,06,93610
8981,06,93644
30922,06,93662
1173,06,93668
29294,06,93704
43209,06,93726
65256,06,93906
12093,06,93908
12833,06,93923
875,06,93665
44139,06,93702
37707,06,93705
40936,06,93706
32625,06,93710
60408,06,93905
32411,06,93940
14863,06,95130
20766,06,95138
41117,06,95210
567,06,95233
3531,06,95237
1358,06,95255
433,06,95257
882,06,95306
44736,06,95307
6616,06,95316
201,06,95335
47612,06,95336
210,06,95526
1224,06,95548
337,06,95555
2274,06,95570
1554,06,95573
29964,06,91316
26863,06,91504
26091,06,91724
28425,06,91103
1141,06,91008
143,06,91046
689,06,91210
3273,06,91330
0,06,91371
43717,06,91387
14344,06,90716
21696,06,90717
61850,06,90731
57206,06,90744
26996,06,90746
139,06,90822
31739,06,90008
11937,06,90013
46581,06,90016
26728,06,90017
37988,06,90036
26115,06,91740
87240,06,91744
30708,06,91746
33836,06,91750
374,06,91759
60699,06,91762
27757,06,94062
67597,06,94080
34754,06,94114
25764,06,94402
20121,06,94519
19341,06,94563
38568,06,94520
68111,06,94538
27523,06,94559
41059,06,94578
29942,06,94580
26044,06,92602
3225,06,92661
34110,06,92672
30927,06,92673
4721,06,92823
23867,06,92835
55186,06,92840
33996,06,92881
9086,06,92310
11361,06,92314
1166,06,92321
42173,06,92054
18778,06,93927
29404,06,93035
454,06,93067
22744,06,93203
34181,06,93060
72061,06,93065
3112,06,93066
27515,06,93105
47,06,93208
55269,06,93215
10167,06,93219
4816,06,93225
19053,06,91390
3892,06,91708
31740,06,91915
99284,06,92335
17882,06,92371
6282,06,92372
58204,06,92392
51322,06,92505
1929,06,92401
14434,06,92408
59556,06,92504
45854,06,92506
81214,06,92509
4703,06,92539
37615,06,92543
20032,06,92586
84418,06,92592
43316,06,92618
12148,06,92625
32579,06,92679
45178,06,92688
57416,06,92708
39719,06,92806
46036,06,92843
53582,06,92870
2414,06,92004
11234,06,92007
39724,06,92037
58742,06,92020
53772,06,92025
56811,06,92027
36309,06,92065
55334,06,94591
17938,06,94595
20822,06,94596
27780,06,94598
38303,06,94606
31496,06,94610
17041,06,94618
21937,06,94703
13365,06,94705
816,06,94937
234,06,94940
11408,06,94965
25429,06,90064
33721,06,90504
25981,06,90602
69502,06,90631
18587,06,90814
41026,06,90815
0,06,90071
32808,06,90230
26587,06,90249
633,06,92309
33612,06,92311
1185,06,92339
203,06,92341
69142,06,94558
19200,06,94564
64887,06,94015
7444,06,94027
3687,06,94038
14394,06,94041
572,06,92066
1343,06,92091
34878,06,92103
55623,06,92113
33767,06,92116
22484,06,92118
92,06,92060
12624,06,92075
39043,06,92083
51419,06,92084
45202,06,92104
8621,06,92325
316,06,92333
96575,06,92336
2792,06,92365
146,06,92389
2098,06,92398
24694,06,92606
42248,06,92802
21656,06,92501
39225,06,92508
1186,06,92518
46470,06,92705
35072,06,92883
3028,06,92536
52089,06,92557
56446,06,92571
16783,06,92582
51298,06,92584
49933,06,92064
