substation,x,y
LANGFORD,-8775179.333,5247910.345
MILLER ST.,-8480843.079,5253164.323
124 ALMEDA AVE,-8774145.426,5309629.755
63 HIGHLAND,-8776991.491,5308042.722
216 LOCKPORT RD,-8796284.574,5329963.314
97 SUMMIT PARK,-8786003.547,5325419.167
WESTVILLE,-8281518.604,5611919.769
MORRISTOWN,-8420272.659,5555174.871
EAST WATERTOWN,-8444086.433,5455964.298
154 GEORGE URBAN,-8768375.437,5299541.644
26 STATION 26,-8777053.933,5303965.961
121 CLINTON ST,-8768734.441,5291539.203
LAKE SHORE,-8777545.935,5279170.067
ARNOLD,-8378780.297,5325593.587
NORWOOD,-8349371.793,5581357.671
MC ADOO,-8383221.331,5554117.733
EAST NORFOLK,-8347291.039,5589912.069
DEKALB E.S.,-8375949.141,5542177.664
WHITEHALL,-8168645.096,5396115.498
DUGUID,-8457656.225,5316833.188
BURGOYNE,-8189154.184,5359971.257
COMSTOCK,-8172206.257,5382368.202
GALEVILLE SUBSTATION,-8481567.865,5325698.029
LERAY,-8437675.326,5467209.23
ANTWERP,-8417278.842,5496853.605
HINSDALE,-8490029.728,5319008.042
EAST SPRINGFIELD,-8327065.149,5286042.382
WEHRLE DR,-8762313.087,5305407.08
CARDIFF,-8475580.76,5295306.177
RANDALL RD,-8228744.437,5308410.84
S. PHILADELPHIA,-8428928.027,5487675.186
KARNER,-8219538.314,5269478.168
Birch Avenue,-8206531.674,5375047.466
COLLINSVILLE,-8391763.63,5405575.747
COBLESKILL,-8291666.386,5264603.027
EAST SCHODACK,-8197314.438,5245554.538
LIMA,-8639885.646,5297633.171
SHERMAN CRCC,-8366550.617,5353702.661
EAST FULTON,-8504826.371,5362252.417
BELMONT,-8484325.596,5331210.228
STATE STREET,-8367452.682,5560056.052
NORTH CARTHAGE,-8414132.296,5463658.898
Ohio Childs (MITS),-8779420.462,5290771.237
GROOMS,-8218570.016,5286862.497
TEALL AVE,-8473974.488,5325503.417
CAZENOVIA,-8443099.501,5302421.456
MANLIUS,-8457670.24,5312108.075
DARIEN STATION,-8726259.069,5300334.18
W HAMLIN,-8677981.075,5356936.71
ROYALTON,-8742869.858,5334184.024
ALBION,-8704194.827,5349836.05
BASOM STATION,-8726508.645,5321590.135
ELBA STATION,-8703680.485,5322917.028
PALOMA,-8516692.705,5379334.824
SANDY CREEK 66,-8470210.119,5410466.204
THIRD ST,-8506582.627,5358720.557
FAIRDALE,-8521261.54,5361662.517
SORRELL HILL,-8499701.341,5335488.335
FISHER,-8481213.875,5253797.483
SAND ROAD,-8476048.201,5328604.214
COLLINS,-8784636.321,5235381.195
TURIN RD,-8401635.185,5356279.664
126 STATION 126,-8782211.744,5313535.166
74 MILITARY,-8781157.846,5312255.859
56 WILLOWDALE & BARTON,-8781670.955,5309442.094
23 KENMORE,-8777712.433,5305637.756
E. DUNKIRK,-8829036.971,5234098.675
88 YOUNGSTOWN,-8799514.922,5349252.209
105 SWANN RD,-8793031.933,5342460.624
HAMMOND,-8426011.25,5535305.637
81 BEECH AVE,-8799325.64,5329456.703
28 STATION 28,-8773529.252,5301753.818
68 ELMWOOD,-8780582.083,5298553.171
42 OHIO,-8779443.506,5290736.547
CONKLING,-8374165.385,5325574.426
NORTH GOVERNEUR,-8402092.168,5518930.074
LYME E.S.,-8474297.542,5477386.297
CEDAR,-8193449.827,5361014.479
PORT HENRY,-8179672.19,5474007.452
ST JOHNSVILLE,-8314061.675,5311473.804
CENTER ST.,-8279565.232,5305600.791
ELNORA,-8219604.361,5295480.822
210 MILITARY RD,-8791070.054,5326102.287
ALTAMONT,-8237166.511,5267919.351
ROCK CITY FALLS,-8228132.295,5321282.029
GENESEE ST.,-8208612.578,5261836.816
BOLTON,-8200526.008,5396649.8
LIBERTY,-8203694.646,5270265.673
RUSSELL RD,-8214176.618,5264003.033
VAIL MILLS,-8261843.434,5318745.031
MIDDLEBURG,-8274588.909,5251616.466
SCHOHARIE,-8271497.778,5262368.009
AVENUE A,-8214201.316,5259479.302
COFFEEN,-8454539.863,5463793.753
EAGLE BAY,-8328045.643,5429737.518
WHITE LAKE,-8364796.946,5395004.094
CURRY RD,-8230137.34,5275730.486
CHRISLER AVE,-8230848.309,5280008.089
TWO MILE CREEK STATION,-8783254.024,5311476.93
TIBBITS AVE,-8201935.279,5270281.108
FLORIDA ,-8265116.609,5302190.48
AUSABLE FORKS,-8202812.126,5535748.171
83 WELCH AVE,-8797988.236,5325355.708
ATTICA STATION,-8713095.54,5291497.921
AVON,-8653641.892,5298202.762
INMAN RD,-8222625.566,5279963.051
BUTTS RD,-8701444.122,5348741.913
SONORA WAY,-8651347.709,5287497.051
86 LEWISTON HEIGHTS,-8797442.791,5335201.371
RIVER RD,-8200670.799,5293361.984
FAY ST,-8505322.958,5359743.847
NEW ROYAL STA. 2715,-8795974.239,5324994.752
LASHER RD,-8229880.845,5308496.923
HOPKINS,-8479540.717,5328654.857
SO. ROBERTS RD,-8829458.541,5233895.389
SHEPPARD STATION,-8689524.85,5293967.825
EAGLE HARBOR,-8711091.943,5348014.403
HEMLOCK,-8639353.726,5280674.133
GILBERT MILLS,-8487955.247,5358661.537
WINE CREEK,-8514549.554,5383344.469
TRUXTON,-8463122.25,5268386.711
NORTH ASHFORD,-8760984.797,5232030.771
DELAMETER RD,-8794384.592,5260692.204
PERRYSBURG,-8799419.017,5238780.615
93 WILSON,-8774975.813,5356804.547
LAKE COLBY,-8251890.841,5520141.226
162 STATION 162,-8776992.536,5301204.077
146 WALDEN AVE.,-8764529.732,5297838.426
46 STATION 46,-8774592.915,5286706.811
142 LEHIGH AVE,-8776313.759,5284718.262
11 STATION 11,-8775147.192,5283888.323
38 SPRING,-8778474.749,5295328.143
PLEASANT,-8376882.263,5325272.032
LAWRENCE AVE,-8345688.286,5571086.159
STAR LAKE,-8348109.705,5491406.901
BALMAT,-8393241.451,5504564.66
SPRINGFIELD RD.,-8469305.537,5319798.159
HAGUE,-8175971.032,5441573.847
SCOFIELD,-8219654.564,5365933.367
PINEBUSH,-8224928.623,5266630.056
PARTRIDGE ST.,-8212904.431,5261602.575
ONEIDA,-8419245.898,5327521.349
EAST MOLLOY ROAD,-8471333.292,5326744.474
HARRIS ROAD,-8485903.32,5314597.337
EAST GOLAH,-8648798.897,5304136.973
AKWESASNE,-8318283.249,5617402.428
EMMET,-8230314.865,5282432.814
BOMBAY E.S.,-8301677.262,5611908.527
FRENCH MOUNTAIN,-8203741.666,5368367.561
UNION ST,-8169746.394,5314584.746
HOOSICK,-8166109.932,5298600.525
MAYFIELD,-8267378.331,5328397.877
SCHUYLERVILLE,-8191109.582,5326752.909
BETHLEHEM,-8215371.55,5251699.363
HILL ST.,-8276989.241,5317607.914
QUAIL HOLLOW,-8211605.734,5250646.877
MARKET HILL,-8258239.149,5305262.252
RICHMOND,-8630957.755,5280060.708
MIDDLEVILLE,-8345085.283,5333479.979
SO. WASHINGTON ST.,-8346888.311,5314840.654
NEW FRANKHAUSER  STATION ,-8770508.482,5309143.317
NEW 85 STEPHENSON AVE,-8791808.696,5324055.883
55 ELECTRIC AVE,-8775212.073,5282414.915
SYCAWAY,-8198643.665,5272568.787
WHITESBORO,-8380478.652,5329869.579
MOIRA,-8297690.254,5593823.017
HOMER,-8479887.672,5256855.543
122 SOMMER ST - PROPOSED,-8781074.054,5317078.939
BREWERTON,-8476220.878,5347967.829
POMPEY,-8463637.847,5300181.793
PINE GROVE,-8471042.859,5334890.121
HANCOCK #2,-8473811.092,5327126.286
PARK STREET,-8476207.882,5321610.987
BARKER STATION,-8744460.802,5363531.432
N LEROY STATION,-8682049.572,5310198.265
CAVANAUGH,-8379214.612,5333521.449
NILES,-8509216.598,5289949.338
MILTON AVE,-8491559.456,5320001.498
N. EDEN,-8782153.609,5260879.04
140 MAPLE RD,-8766928.354,5310729.579
58 HARLEM RD,-8770068.659,5306638.932
47 STATION 47,-8786367.449,5307700.659
57 COLVIN,-8777886.559,5310118.937
89 RANSOMVILLE,-8783198.467,5347779.77
N. LAWRENCE,-8312914.658,5589573.759
GABRIELS,-8258262.277,5532533.177
FRANKLIN,-8234607.461,5533304.401
RIVERVIEW,-8224345.74,5556923.496
160 SUMMER ST.,-8780369.915,5297447.548
203 STATION ,-8781226.472,5295174.268
48 GELSTON,-8782958.92,5299325.464
32 BAILEY,-8773558.837,5300104.822
139 MARTIN RD,-8773151.361,5284005.433
27 JEWETT AVE,-8776491.704,5301977.674
35 WALDEN,-8775871.328,5297288.206
39 WILLIAM,-8776396.128,5294541.13
40 WILLIAM STA,-8773740.416,5294496.193
33 STATION 33,-8782111.022,5297554.993
CHADWICKS,-8378846.566,5317770.744
BRADY,-8366650.588,5588313.183
BRIER HILL,-8422708.166,5546304.937
OTTEN,-8174468.686,5411734.255
HENRY STREET,-8198047.485,5358459.421
224 SWEET HOME,-8772217.398,5315734.043
MEXICO,-8485511.081,5382176.018
CONESUS LAKE SUBSTATION,-8650954.12,5268583.259
LAKEVIEW,-8787777.431,5268126.267
211 AYER RD,-8762430.952,5311283.094
DELAWARE AVE,-8212654.324,5257726.612
BALLSTON,-8221926.852,5311799.022
PORTAGE ST.,-8452010.989,5461171.432
UNIONVILLE,-8226074.227,5250930.539
SCOTIA,-8232603.57,5286741.404
SHORE RD,-8223833.383,5298382.841
POTTERSVILLE,-8217816.365,5423437.447
SCHROON LAKE,-8211565.34,5440389.695
WELLS,-8269430.925,5371312.244
NASSAU,-8194431.635,5238457.384
DEXTER,-8465303.701,5465341.596
GILPIN BAY,-8276411.411,5509275.729
SCHUYLER,-8368034.166,5325543.227
FRANKFORT,-8355842.922,5317627.612
WATT ST,-8229156.216,5280028.843
DORWIN,-8476821.412,5309489.368
OAKFIELD STATION,-8713907.629,5321538.084
CAMILLUS,-8494038.632,5318449.395
UNION,-8227955.882,5544796.072
TRINITY,-8210657.408,5257854.374
FAIRMOUNT,-8486654.335,5316602.171
DELMAR,-8219216.671,5254917.447
CLINTON ERCC,-8303292.015,5296889.64
87 LEWISTON,-8798748.569,5338797.897
PHOENIX,-8493787.052,5347090.383
BOYNTONVILLE,-8175973.839,5287865.661
JOHNSON,-8209064.173,5276239.269
JEWETT,-8508693.884,5306881.951
PERRY ST,-8777288.226,5292306.748
CLOVERBANK,-8782299.486,5273430.361
WESTMORELAND,-8393497.321,5327291.885
BUTTERNUT,-8465236.128,5319489.789
RIDGE ROAD,-8445778.933,5310854.658
COURT ST.,-8473966.638,5324686.623
MINOA,-8461549.384,5322678.874
WETHERSFIELD STATION,-8710830.161,5264251.068
SHELBY,-8723972.342,5344776.933
WATERPORT,-8709103.418,5361869.572
LAKEVILLE,-8651250.065,5286795.01
CLEVELAND,-8447867.25,5348277.958
TULLER HILL,-8475796.591,5239303.228
LEVITT,-8401454.537,5346271.055
122 SOMMER ST,-8781113.837,5317063.641
129 BROMPTON,-8776237.93,5312231.199
77 EAST AVE,-8779835.372,5315069.503
170 NEWFANE,-8760381.97,5355210.315
206 TONAWANDA CREEK,-8772134.402,5320521.443
BREMEN,-8392433.904,5447140.956
29 POTOMAC,-8781646.243,5300381.141
52 HERTEL,-8780509.885,5304067.292
34 BEST ST.,-8777758.902,5297316.813
43 SENECA ST,-8773981.301,5291001.063
DEERFIELD,-8372921.658,5333948.558
ST.JOES,-8352434.595,5544605.949
LISBON E.S.,-8384767.064,5578335.538
MIDLER,-8471016.041,5324804.795
CHURCH ST,-8257147.349,5302460.45
SCHODACK,-8205844.584,5243547.038
JUNIPER,-8220841.385,5252104.206
WESTVALE,-8485240.759,5319400.728
TEMPLE ST.,-8477262.592,5318033.813
BROOK ROAD,-8219098.064,5324550.495
SOUTH ST,-8214614.314,5323156.573
PERRYVILLE,-8441095.53,5313733.422
LIGHTHOUSE HILL,-8457113.794,5391963.209
E.J. WEST HYDRO,-8228717.502,5360512.348
PORT LEYDEN,-8388018.195,5400411.734
NORTH CREEK,-8234501.171,5416343.71
GREENBUSH,-8205897.468,5252159.948
JOHNSTOWN,-8279480.966,5314285.296
NORTH TROY,-8197258.281,5279617.765
OATHOUT,-8212800.41,5272223.951
ALDER CREEK,-8374086.858,5376291.216
REYNOLDS RD,-8202848.771,5262285.536
INGHAMS,-8322644.163,5321156.643
127 DELAWARE ROAD,-8779274.116,5308359.039
36 SUMNER PL,-8773228.098,5297053.417
TERMINA,-8374163.076,5329018.379
NORTHVILLE,-8258562.466,5346797.989
LANSINGBURGH,-8201785.623,5276049.706
YAHNUNDASIS,-8386161.367,5325533.617
PORTABLE SUB,-8711130.725,5347968.225
SOUTHLAND ,-8744096.278,5362441.404
PEAT STREET,-8473403.671,5319845.953
BRIDGE ST.,-8468215.967,5320424.655
FLY RD,-8466678.783,5324986.591
SOUTHWOOD,-8469616.694,5310731.511
HANCOCK,-8473701.451,5327102.802
BALLINA,-8442544.924,5298051.936
37 HUDSON AVE,-8781348.909,5296445.093
CORFU STATION,-8728173.596,5306351.738
W ALBION,-8707913.714,5348607.188
LIVINGSTON COUNTY CORRECTIONAL,-8663661.249,5263892.904
GROVELAND,-8656856.603,5260932.648
MUMFORD,-8667076.816,5310205.352
LAKE RD,-8506021.103,5390809.16
EAST PULASKI,-8471857.167,5395580.731
WEST MONROE,-8467988.467,5354240.221
CONSTANTIA,-8460394.954,5350247.518
STILES,-8490649.679,5329686.18
TULLY CENTER,-8472617.22,5280148.136
64 STATION 64,-8788709.022,5315457.061
208 STATION 208,-8782936.517,5306783.232
54 MAIN,-8767849.115,5305941.134
79 RIDGE ST.,-8780422.674,5319272.129
61 STATION 61,-8768574.543,5302854.839
67 STATION 67,-8762358.564,5306743.969
130 NIAGARA FALLS BLVD,-8774372.175,5313321.435
BENNETT RD.,-8830122.762,5232302.713
RAYBROOK ES,-8246852.749,5512209.064
PAUL SMITHS,-8264492.981,5532224.44
MALONE,-8270186.233,5594659.272
PARISHVILLE,-8329508.186,5563507.261
85 STEPHENSON AVE,-8791846.427,5324062.534
53 BAILEY,-8773533.56,5303187.974
213 DALE RD,-8768409.434,5297288.734
30 SPILLMAN,-8778145.51,5300082.641
44 SOUTH PARK,-8774578.674,5288641.674
205 ERIE DRIVE,-8781480.575,5294483.584
51 ELK ST,-8775426.31,5291595.783
31 STATION,-8776481.049,5300134.23
WEST ADAMS,-8468371.442,5437496.311
SUNDAY CREEK,-8364103.552,5445582.169
MCBRIDE,-8476311.856,5317726.851
McKOWNVILLE,-8220153.21,5264001.982
WOLF RD.,-8215674.865,5269365.612
FIREHOUSE,-8209990.597,5285093.622
NEWARK ST,-8204701.607,5276667.436
DEPOT ROAD,-8233598.026,5263833.592
COLOSSE,-8478088.99,5376709.09
LORDS HILL,-8484868.331,5298248.9
SEWALL'S ISLAND,-8448582.565,5461991.091
WILTON,-8209916.365,5339732.622
SAND ROAD #2,-8476035.777,5328625.687
CORLISS PARK,-8200604.529,5279689.537
FORT GAGE,-8205496.579,5374364.375
CHESTERTOWN,-8216354.077,5411826.682
ASHLEY,-8181728.316,5376195.223
COLVIN AVE,-8214649.8,5263392.184
COMMERCE AVE,-8212766.27,5262823.328
RIVERSIDE,-8208688.694,5260620.514
QUEENSBURY,-8200297.605,5363074.715
RIPARIUS,-8226679.292,5413574.159
WEAVER ST,-8232048.168,5282408.82
WORCESTER,-8321459.995,5250814.644
SEVENTH AVE,-8202169.75,5273416.713
SALISBURY ES,-8331729.518,5322000.294
OLD FORGE,-8346735.766,5419676.592
STITTVILLE,-8377769.481,5344094.53
WEST HERKIMER,-8348498.025,5315072.611
LYNN,-8233847.162,5278654.915
BRUNSWICK,-8190566.182,5271541.231
2738 LARKINVILLE,-8777228.999,5292244.358
ROCK CUT,-8475267.409,5313653.415
106 GIBSON,-8796433.284,5329902.536
NEWTONVILLE,-8211234.441,5271637.723
WETZEL RD SUBSTATION,-8481465.563,5335041.398
ROTTERDAM,-8237362.423,5285953.634
PROSPECT HILL,-8202002.536,5282112.203
N. BOMBAY,-8307552.155,5612723.877
POLAND CRCC,-8355974.345,5346256.278
DELPHI,-8448192.92,5288648.42
MAPLE AVE SUBSTATION,-8258245.11,5309672.487
