,substation,x,y,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders
106,ARNOLD,-8378780.297,5325593.587,Central,Utica,0.0,1.0,2.0,1.0,"['43.8/13.8', '46/4.16']",['5/6.250'],3.0,1969.0,1966-01-01,43.8,13.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,
107,ASH STREET,,,Central,Syracuse,3.0,1.0,3.0,2.0,"['115/12', '115/13.8', '115/34.5', '34.5/4.16']","['20/26.7/33.3', '24/32/40', '30/40/50', '30/40/50/56', '7.5/9.375', '7.5/9.4']",7.0,10413.0,1993-01-01,115.0,12.0,0.0,24.0,32.0,40.0,0.0,0.0,True,51.2263655,27.0
108,ASHLEY,-8181728.316,5376195.223,East,Fort Ann,0.0,1.0,1.0,1.0,['34.5/13.8'],['7.5'],2.0,1237.0,1991-01-01,34.5,13.8,0.0,7.5,0.0,0.0,0.0,0.0,True,,
109,ATTICA STATION,-8713095.54,5291497.921,West,Attica,0.0,4.0,3.0,1.0,['34.5/4.8'],['5/6.25'],7.0,2616.0,1965-01-01,34.5,4.8,0.0,5.0,6.25,0.0,0.0,0.0,True,4.0464,3.0
110,AUSABLE FORKS,-8202812.126,5535748.171,Central,Black Brook,0.0,1.0,1.0,1.0,['46/4.8'],['2.5'],2.0,646.0,2005-11-07,46.0,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
111,AVENUE A,-8214201.316,5259479.302,East,Albany,0.0,2.0,6.0,2.0,['34.5/4.16'],['5/6.25'],8.0,3649.0,1958-01-01,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,
112,AVON,-8653641.892,5298202.762,West,Avon,0.0,1.0,3.0,1.0,['34.5/4.8'],['3.75'],4.0,2678.0,1960-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.315232,3.0
113,BALLINA,-8442544.924,5298051.936,Central,Cazenovia,1.0,0.0,1.0,1.0,['34.5/13.8'],['5.6'],2.0,1406.0,1982-01-01,34.5,13.8,0.0,5.6,0.0,0.0,0.0,0.0,True,2.459556,1.0
114,BALLSTON,-8221926.852,5311799.022,East,Ballston Spa,2.0,5.0,4.0,1.0,"['115/13.8', '115/34.5/13.8']","['12/16/22.4', '30/40/50']",11.0,6947.0,2002-08-02,115.0,13.8,0.0,12.0,16.0,22.4,0.0,0.0,True,,
115,BALMAT,-8393241.451,5504564.66,Central,Fowler,1.0,2.0,1.0,3.0,['23/.277/.480'],['1'],4.0,647.0,2003-03-20,23.0,0.277,0.48,1.0,0.0,0.0,0.0,0.0,True,,
116,BARKER STATION,-8744460.802,5363531.432,West,Somerset,0.0,2.0,3.0,1.0,['34.5/4.8'],['3.75'],5.0,1407.0,1976-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.7887999999999997,3.0
117,BARTELL,-8475130.164,5346049.895,Central,Cicero,2.0,1.0,3.0,1.0,['115/13.8'],['15/20/25'],6.0,7326.0,1990-01-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,14.524356,3.0
118,BASOM STATION,-8726508.645,5321590.135,West,Alabama,0.0,2.0,2.0,2.0,['34.5/4.8'],['1.5'],4.0,787.0,1953-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,0.814416,2.0
119,BATAVIA STATION,-8704498.728,5311384.13,West,Batavia,4.0,3.0,4.0,2.0,"['115/13.8', '115/34.5']","['15/20', '20/26.7/33.3']",11.0,7437.0,1964-07-15,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,22.264044,7.0
120,BATTENKILL,-8187561.834,5327293.428,East,Easton,3.0,2.0,4.0,1.0,"['115/13.8', '115/34.5/13.8']","['12/16/20', '30/40/50']",9.0,4940.0,1966-02-17,115.0,34.5,13.8,30.0,40.0,50.0,0.0,0.0,True,,
121,BELMONT,-8484325.596,5331210.228,Central,Clay,2.0,0.0,7.0,1.0,"['115/13.8', '116/13.8']","['18/24/30', '20/26/33']",9.0,11169.0,2001-12-01,115.0,13.8,0.0,20.0,26.0,33.0,0.0,0.0,True,19.329155999999998,7.0
122,BENNETT RD.,-8830122.762,5232302.713,West,Dunkirk,2.0,0.0,6.0,1.0,['115/13.8'],"['12/16/20', '13.4/17.9/22.4']",8.0,5220.0,1971-09-22,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,11.2464,6.0
123,BERRY ROAD,,,West,Pomfret,2.0,0.0,3.0,1.0,['115/13.8'],['15/20/25'],5.0,6429.0,1991-12-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,3.9335999999999993,2.0
124,BETHLEHEM,-8215371.55,5251699.363,East,Bethlehem,2.0,5.0,3.0,1.0,"['115/13.8', '115/34.4/13.8', '115/34.5/4.8']","['15/20/25', '30/40/50']",10.0,3686.0,2011-04-07,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
125,BIRCH AVENUE,,,East,Lake George,0.0,2.0,2.0,1.0,['34.5/13.8'],['10/12.5'],4.0,2543.0,1996-01-01,34.5,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,
126,BLOOMINGDALE MOBILE SUB,,,Central,St. Armand,4.0,0.0,1.0,1.0,['46/4.8'],['2.5'],5.0,892.0,2004-03-01,46.0,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
127,BLUE STORES,,,East,Livingston,2.0,0.0,3.0,1.0,['115/13.8'],['12/16/20'],5.0,5221.0,1971-01-21,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
128,BOLTON,-8200526.008,5396649.8,East,Bolton,0.0,1.0,3.0,1.0,['34.4/13.8'],['10/12.5'],4.0,3963.0,1985-01-01,34.4,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,
129,BOMBAY E.S.,-8301677.262,5611908.527,Central,Bombay,0.0,2.0,1.0,1.0,['34.5/4.8'],['2.5'],3.0,619.0,2003-10-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
130,BOYNTONVILLE,-8175973.839,5287865.661,East,Pittstown,0.0,1.0,1.0,1.0,['115/13.8'],['7.5'],2.0,2139.0,1963-01-01,115.0,13.8,0.0,7.5,0.0,0.0,0.0,0.0,True,,
131,BRADY,-8366650.588,5588313.183,Central,Madrid,2.0,0.0,1.0,1.0,['115/13.8'],['15/20/25'],3.0,4205.0,1994-10-06,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
132,BRASHER,-8324825.585,5592924.408,Central,Brasher,0.0,2.0,2.0,3.0,['34.5/4.8'],['2'],4.0,1367.0,2006-07-28,34.5,4.8,0.0,2.0,0.0,0.0,0.0,0.0,True,,
133,BREMEN,-8392433.904,5447140.956,Central,New Bremen,2.0,0.0,2.0,1.0,['110/13.8'],['5/6.25/7'],4.0,2631.0,1966-01-01,110.0,13.8,0.0,5.0,6.25,7.0,0.0,0.0,True,,
134,BREWERTON,-8476220.878,5347967.829,Central,Cicero,0.0,1.0,2.0,1.0,['34.5/4.8'],['3.75'],3.0,563.0,1957-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,1.1007840000000002,1.0
135,BRIDGE ST.,-8468215.967,5320424.655,Central,Dewitt,2.0,0.0,4.0,1.0,['115/13.8'],['18/24/33.6'],6.0,1623.0,1975-01-01,115.0,13.8,0.0,18.0,24.0,33.6,0.0,0.0,True,13.195775999999999,4.0
136,BRIDGEPORT,-8456695.879,5334222.021,Central,Sullivan,1.0,0.0,2.0,1.0,['113/13.8'],['13.4/17.9/22.4'],3.0,5727.0,2004-06-22,113.0,13.8,0.0,13.4,17.9,22.4,0.0,0.0,True,7.845155999999999,3.0
137,BRIER HILL,-8422708.166,5546304.937,Central,Morristown,0.0,1.0,1.0,1.0,['23/4.8'],['1'],2.0,636.0,1969-01-01,23.0,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,,
138,BRIGHTON AVE,,,Central,Syracuse,4.0,1.0,5.0,6.0,['34.5/4.16'],['2'],10.0,5236.0,1929-01-01,34.5,4.16,0.0,2.0,0.0,0.0,0.0,0.0,True,,
139,BROCKPORT,-8678095.702,5344368.032,West,Sweden,2.0,3.0,5.0,1.0,"['115/13.8', '115/34.5']","['13.4/17.9/22.4', '15/20', '15/20/25']",10.0,10233.0,1973-07-31,115.0,13.8,0.0,13.4,17.9,22.4,0.0,0.0,True,16.134756,5.0
140,BROOK ROAD,-8219098.064,5324550.495,East,Saratoga Springs,2.0,3.0,8.0,2.0,"['115/13.8', '115/34.5']","['20/26.7/33.3', '30/40/50']",13.0,14700.0,2001-12-31,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,,
141,BRUNSWICK,-8190566.182,5271541.231,East,Brunswick,0.0,1.0,2.0,1.0,['34.4/13.8'],['7.5/10.5'],3.0,3837.0,1971-01-01,34.4,13.8,0.0,7.5,10.5,0.0,0.0,0.0,True,,
142,BUCKLEY,-8478155.545,5331369.751,Central,Clay,0.0,1.0,4.0,1.0,['34.5/4.8'],['5/6.25'],5.0,1203.0,1958-01-01,34.5,4.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,
143,BUCKLEYS,,,East,Greenport,1.0,0.0,1.0,1.0,['113/13.8'],['7.5/8.4/10.5'],2.0,769.0,1995-01-01,113.0,13.8,0.0,7.5,8.4,10.5,0.0,0.0,True,,
144,BUFF AVE STA,-8798957.583,5324228.585,West,Niagara Falls,2.0,0.0,8.0,1.0,['115/13.8'],"['20', '20/26.7/33.3']",10.0,4304.0,1992-10-30,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,10.749156,8.0
145,BURDECK ST,-8238298.583,5280324.021,East,Rotterdam,2.0,0.0,4.0,1.0,['115/13.8'],['12/16/20/22.4'],6.0,6440.0,1973-01-01,115.0,13.8,0.0,12.0,16.0,20.0,22.4,0.0,True,,
146,BURGOYNE,-8189154.184,5359971.257,East,Kingsbury,2.0,0.0,3.0,1.0,['115/13.8'],['22.4'],5.0,7336.0,1972-05-01,115.0,13.8,0.0,22.4,0.0,0.0,0.0,0.0,True,,
147,BUSTI,,,West,Busti,0.0,2.0,1.0,1.0,['34.5/4.8'],['1.5'],3.0,723.0,1970-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,,
148,BUTLER,-8199879.472,5351377.798,East,Moreau,2.0,0.0,2.0,1.0,['115/13.8'],['12/16'],4.0,5996.0,1969-12-02,115.0,13.8,0.0,12.0,16.0,0.0,0.0,0.0,True,,
149,BUTTERNUT,-8465236.128,5319489.789,Central,Dewitt,2.0,0.0,3.0,1.0,['113/13.8'],['12/16/20'],5.0,3398.0,1969-06-10,113.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,10.0056,3.0
150,BUTTS RD,-8701444.122,5348741.913,West,Albion,0.0,2.0,2.0,1.0,"['34.4/13.8', '34.5/13.8']","['3.75/5.25', '5.25']",4.0,1223.0,2009-10-20,34.4,13.8,0.0,5.25,0.0,0.0,0.0,0.0,True,2.6927999999999996,2.0
151,BYRON STATION,-8690029.781,5324569.873,West,Byron,1.0,0.0,2.0,2.0,['34.5/4.8'],['1.5'],3.0,988.0,1971-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,1.321632,2.0
152,CAMILLUS,-8494038.632,5318449.395,Central,Camillus,0.0,1.0,2.0,3.0,['34.5/4.16'],['1.25'],3.0,863.0,1959-01-01,34.5,4.16,0.0,1.25,0.0,0.0,0.0,0.0,True,1.14816,2.0
153,CARDIFF,-8475580.76,5295306.177,Central,Lafayette,0.0,1.0,1.0,1.0,['34.5/4.16'],"['0.333', '0.667']",2.0,475.0,1956-01-01,34.5,4.16,0.0,0.333,0.0,0.0,0.0,0.0,True,0.60736,1.0
154,CAROGA,-8293209.741,5331039.389,East,Caroga,0.0,1.0,1.0,1.0,['23/4.8'],['2.5/3.1'],2.0,2150.0,1956-01-01,23.0,4.8,0.0,2.5,3.1,0.0,0.0,0.0,True,,
155,CARTHAGE,-8416785.583,5461766.098,Central,Wilna,1.0,5.0,3.0,3.0,['23/4.8'],['2'],9.0,1181.0,1955-01-01,23.0,4.8,0.0,2.0,0.0,0.0,0.0,0.0,True,,
156,CASSADAGA,,,West,Stockton,0.0,3.0,2.0,1.0,['34.5/4.8'],['3.75'],5.0,2064.0,2005-04-22,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,
157,CASTLETON,,,East,Schodack,0.0,1.0,2.0,1.0,['34.5/4.8'],['1'],3.0,1320.0,1948-10-08,34.5,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,,
158,CATTARAUGUS,,,West,New Albion,0.0,2.0,2.0,1.0,['34.5/4.8'],['2.5'],4.0,1284.0,1984-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
159,CAVANAUGH,-8379214.612,5333521.449,Central,Marcy,1.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],5.0,4942.0,1996-07-26,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
160,CAZENOVIA,-8443099.501,5302421.456,Central,Cazenovia,0.0,1.0,3.0,1.0,['34.5/4.8'],['1.25'],4.0,941.0,1961-01-01,34.5,4.8,0.0,1.25,0.0,0.0,0.0,0.0,True,2.720016,3.0
161,CEDAR,-8193449.827,5361014.479,East,Cedar,2.0,0.0,3.0,1.0,['115/13.8'],['0.25'],5.0,6785.0,1993-01-01,115.0,13.8,0.0,0.25,0.0,0.0,0.0,0.0,True,,
162,CENTER ST.,-8279565.232,5305600.791,East,Center St.,2.0,0.0,3.0,1.0,['115/13.8'],['15/20/25'],5.0,3177.0,1992-01-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
163,CENTRAL SQUARE,,,Central,Central Square,0.0,2.0,1.0,1.0,['34.5/4.8'],['2.5'],3.0,674.0,1957-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
164,CENTRAL SQUARE STATION,-8475777.856,5357236.923,,,,,,,[],[],,,,,,,,,,,,,1.059216,1.0
165,CHADWICKS,-8378846.566,5317770.744,Central,Chadwicks,1.0,0.0,4.0,1.0,['115/13.8'],['12/16/20'],5.0,8758.0,1974-08-25,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
166,CHARLEY LAKE,,,East,Charley Lake,0.0,1.0,1.0,1.0,['23/2.4'],['0.1'],2.0,64.0,1990-01-01,23.0,2.4,0.0,0.1,0.0,0.0,0.0,0.0,True,,
167,CHASM FALLS,-8261790.322,5582846.159,Central,Malone,0.0,1.0,1.0,1.0,['34.5/13.8'],['5'],2.0,1204.0,1988-01-01,34.5,13.8,0.0,5.0,0.0,0.0,0.0,0.0,True,,
168,CHAUTAUQUA,,,West,Chautauqua,0.0,2.0,2.0,1.0,['34.4/.5'],['7.5/9.3'],4.0,2000.0,2012-05-17,34.4,0.5,0.0,7.5,9.3,0.0,0.0,0.0,True,,
169,CHESTERTOWN,-8216354.077,5411826.682,East,Chester,0.0,3.0,2.0,1.0,['34.5/13.8'],['7.5/9.3/10.5'],5.0,3991.0,1972-01-01,34.5,13.8,0.0,7.5,9.3,10.5,0.0,0.0,True,,
170,CHITTENANGO,-8445879.449,5318078.102,Central,Sullivan,0.0,1.0,2.0,1.0,['34.4/4.8'],['3.75'],3.0,1919.0,1959-01-01,34.4,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,1.024032,2.0
171,CHRISLER AVE,-8230848.309,5280008.089,East,Schenectady,0.0,1.0,3.0,2.0,['34.5/4.16'],['3/3.65'],4.0,2281.0,1957-01-01,34.5,4.16,0.0,3.0,3.65,0.0,0.0,0.0,True,,
172,CHURCH ST,-8257147.349,5302460.45,East,Amsterdam,2.0,0.0,7.0,1.0,['115/13.8'],"['12/16/20', '18/24/30']",9.0,8412.0,2012-06-20,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
173,CLEVELAND,-8447867.25,5348277.958,Central,Constantia,0.0,1.0,1.0,3.0,['34.5/4.8'],['0.83'],2.0,1163.0,1978-01-01,34.5,4.8,0.0,0.83,0.0,0.0,0.0,0.0,True,,
174,CLINTON CRCC,-8390631.862,5320222.72,Central,Kirkland,0.0,2.0,4.0,1.0,['46/13.8'],['7.5/9.4/10.5'],6.0,2886.0,1969-01-01,46.0,13.8,0.0,7.5,9.4,10.5,0.0,0.0,True,,
175,CLINTON ERCC,-8303292.015,5296889.64,East,Canajoharie,2.0,0.0,2.0,1.0,['115/13.8'],['12'],4.0,2989.0,1969-01-01,115.0,13.8,0.0,12.0,0.0,0.0,0.0,0.0,True,,
176,CLOVERBANK,-8782299.486,5273430.361,West,Hamburg,2.0,0.0,4.0,2.0,['115/13.8'],['10/12.5'],6.0,4882.0,1961-10-27,115.0,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,8.844,4.0
177,CLYMER,,,West,Clymer,0.0,2.0,2.0,1.0,['34.5/4.8'],['3.75'],4.0,879.0,2000-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,
178,COBLESKILL,-8291666.386,5264603.027,East,Cobleskill,2.0,0.0,3.0,1.0,['69/4.8'],"['0.833', '5']",5.0,2372.0,1960-09-01,69.0,4.8,0.0,5.0,0.0,0.0,0.0,0.0,True,,
179,COFFEEN,-8454539.863,5463793.753,Central,Watertown,4.0,2.0,6.0,1.0,"['115/13.8', '115/23']","['12/16/22.4', '15/20/25']",12.0,6702.0,1972-06-05,115.0,13.8,0.0,12.0,16.0,22.4,0.0,0.0,True,,
180,COLLAMER CROSSING,-8465114.759,5328072.149,,,,,,,[],[],,,,,,,,,,,,,7.180931999999999,3.0
181,COLLINS,-8784636.321,5235381.195,West,Collins,0.0,2.0,2.0,1.0,['34.5/4.8'],['3.75/4.69'],4.0,1831.0,1978-01-01,34.5,4.8,0.0,3.75,4.69,0.0,0.0,0.0,True,2.0144159999999998,2.0
182,COLLINSVILLE,-8391763.63,5405575.747,Central,West Turin,0.0,1.0,3.0,1.0,['23/4.8'],['3.75/4.7'],4.0,1759.0,1970-01-01,23.0,4.8,0.0,3.75,4.7,0.0,0.0,0.0,True,,
183,COLOSSE,-8478088.99,5376709.09,Central,Mexico,0.0,1.0,1.0,1.0,['34.5/13.8'],['5.6/7.0'],2.0,2836.0,1982-01-01,34.5,13.8,0.0,5.6,7.0,0.0,0.0,0.0,True,,
184,COLVIN AVE,-8214649.8,5263392.184,East,Albany,0.0,3.0,3.0,1.0,['34.5/4.16'],['5/6.25'],6.0,2096.0,2006-10-11,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,
185,COMMERCE AVE,-8212766.27,5262823.328,East,Albany,0.0,1.0,2.0,1.0,['34.5/13.8/7.9'],['7.5/8.4'],3.0,722.0,1988-01-01,34.5,13.8,7.9,7.5,8.4,0.0,0.0,0.0,True,,
186,COMSTOCK,-8172206.257,5382368.202,East,Fort Ann,1.0,0.0,1.0,1.0,['115/4.8'],['3.75'],2.0,435.0,1956-01-01,115.0,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,
187,CONESUS LAKE,,,West,Conesus,0.0,1.0,3.0,1.0,['34.5/4.8'],['2.5'],4.0,1673.0,1967-05-23,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,2.190384,2.0
188,CONKLING,-8374165.385,5325574.426,Central,Utica,0.0,1.0,4.0,1.0,['43.8/4.36'],['5/6.25'],5.0,3611.0,1956-01-01,43.8,4.36,0.0,5.0,6.25,0.0,0.0,0.0,True,,
189,CONSTANTIA,-8460394.954,5350247.518,Central,Constantia,0.0,1.0,1.0,1.0,['34.5/4.16'],['3/3.65'],2.0,810.0,1979-01-01,34.5,4.16,0.0,3.0,3.65,0.0,0.0,0.0,True,0.8236800000000001,1.0
190,CORFU STATION,-8728173.596,5306351.738,West,Pembroke,0.0,2.0,2.0,2.0,['34.5/4.8'],['1.5'],4.0,757.0,1974-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,0.6479999999999999,2.0
191,CORINTH,-8218775.352,5349680.079,East,Corinth,0.0,1.0,2.0,1.0,['34.5/13.8'],['7.5/9.375/10.5'],3.0,4013.0,1992-01-01,34.5,13.8,0.0,7.5,9.375,10.5,0.0,0.0,True,,
192,CORLISS PARK,-8200604.529,5279689.537,East,Troy,0.0,1.0,3.0,1.0,['34.5/4.16'],['5/6.25'],4.0,2566.0,1963-11-01,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,
193,CORTLAND,-8477225.684,5250520.142,Central,Cortlandville,2.0,0.0,4.0,2.0,"['115/34.5', '34.5/4.8']","['1.667/1.9', '30/40/50']",6.0,2403.0,1962-02-01,115.0,34.5,0.0,30.0,40.0,50.0,0.0,0.0,True,,
194,CROWN POINT,-8173016.627,5457905.971,East,Crown Point,1.0,0.0,1.0,1.0,['115/13.8'],['7.5/9.375'],2.0,1221.0,2007-07-01,115.0,13.8,0.0,7.5,9.375,0.0,0.0,0.0,True,,
195,CUBA,,,West,Cuba,0.0,2.0,3.0,1.0,['34.4/5.04'],['3.75/4.688'],5.0,1315.0,2010-02-05,34.4,5.04,0.0,3.75,4.688,0.0,0.0,0.0,True,,
196,CUBA LAKE,,,West,Cuba,0.0,1.0,2.0,1.0,['34.5/4.8'],['2.5'],3.0,1527.0,1964-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
197,CURRY RD,-8230137.34,5275730.486,East,Rotterdam,2.0,0.0,6.0,1.0,['115/13.8'],"['18/24/30', '20/26.7/33.3']",8.0,11369.0,1969-10-01,115.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,,
198,CUYLER,-8455784.615,5272292.424,Central,Cuyler,0.0,1.0,1.0,6.0,['34.5/4.16'],['0.2'],2.0,417.0,1970-01-01,34.5,4.16,0.0,0.2,0.0,0.0,0.0,0.0,True,0.5130528000000001,1.0
199,DARIEN STATION,-8726259.069,5300334.18,West,Darien,0.0,2.0,2.0,1.0,['34.5/4.8'],['3.75'],4.0,1283.0,1993-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.3424,2.0
200,DAVID,-8401682.432,5573646.421,Central,Ogdensburg,0.0,1.0,3.0,3.0,['23/4.8'],['2'],4.0,1049.0,1960-01-01,23.0,4.8,0.0,2.0,0.0,0.0,0.0,0.0,True,,
201,DEBALSO SUBSTATION,,,Central,New Hartford,1.0,0.0,3.0,1.0,['115/13.8'],['15/20/25'],4.0,4929.0,1992-07-06,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
202,DEERFIELD,-8372921.658,5333948.558,Central,Deerfield,3.0,4.0,3.0,1.0,"['115/13.8', '115/46']","['12/16/20', '20']",10.0,4206.0,2001-06-28,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
203,DEKALB E.S.,-8375949.141,5542177.664,Central,Dekalb,2.0,0.0,2.0,1.0,['115/13.8'],['7.5/10.5'],4.0,1778.0,1990-01-01,115.0,13.8,0.0,7.5,10.5,0.0,0.0,0.0,True,,
204,DELAMETER RD,-8794384.592,5260692.204,West,Evans,0.0,2.0,4.0,1.0,['115/13.8'],['12/16/20'],6.0,8448.0,1974-10-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,13.349687999999999,4.0
205,DELANSON,-8259942.666,5275615.315,East,Duanesburg,1.0,0.0,2.0,1.0,['69/13.8'],['0'],3.0,4074.0,2012-03-28,69.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,True,,
206,DELAWARE AVE,-8212654.324,5257726.612,East,Albany,0.0,2.0,4.0,1.0,"['34.4/13.8', '34.5/4.16']","['10/12.5', '5/6.25']",6.0,3394.0,2005-07-15,34.4,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,
207,DELEVAN,-8735250.749,5234618.293,West,Yorkshire,0.0,1.0,2.0,2.0,['34.5/4.8'],['1.5'],3.0,1579.0,1953-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,1.400016,2.0
208,DELMAR,-8219216.671,5254917.447,East,Bethlehem,0.0,2.0,6.0,1.0,"['34.4/4.8', '34.5/4.8']",['5/6.25'],8.0,2543.0,1960-07-01,34.4,4.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,
209,DELPHI,-8448192.92,5288648.42,Central,Cazenovia,2.0,0.0,2.0,1.0,['113/13.8'],['7.5/8.4'],4.0,2972.0,1970-01-01,113.0,13.8,0.0,7.5,8.4,0.0,0.0,0.0,True,4.259244,3.0
210,DEPOT SUBSTATION,,,East,Guilderland,0.0,1.0,2.0,1.0,['34.5/13.8'],['3.5'],3.0,113.0,2000-10-01,34.5,13.8,0.0,3.5,0.0,0.0,0.0,0.0,True,,
211,DEXTER,-8465303.701,5465341.596,Central,Hounsfield,0.0,1.0,1.0,1.0,['23/4.8'],['0.833'],2.0,246.0,1960-01-01,23.0,4.8,0.0,0.833,0.0,0.0,0.0,0.0,True,,
212,DORWIN,-8476821.412,5309489.368,Central,Onondaga,0.0,4.0,2.0,1.0,['34.5/4.16'],['5'],6.0,2171.0,1961-01-01,34.5,4.16,0.0,5.0,0.0,0.0,0.0,0.0,True,3.3044128,4.0
213,DUGAN RD.,,,West,Olean,2.0,0.0,6.0,1.0,['115/13.8'],['15/20/25'],8.0,5190.0,1991-05-21,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
214,DUGUID,-8457656.225,5316833.188,Central,Manlius,1.0,0.0,5.0,1.0,['115/13.8'],['20/26/33'],6.0,9851.0,1999-02-12,115.0,13.8,0.0,20.0,26.0,33.0,0.0,0.0,True,19.861511999999998,5.0
215,E BATAVIA STATION,-8698389.255,5310451.147,West,Batavia,2.0,0.0,4.0,2.0,['115/13.8'],['20/26.67/33.33'],6.0,6289.0,2009-05-27,115.0,13.8,0.0,20.0,26.67,33.33,0.0,0.0,True,12.5532,4.0
216,E. DUNKIRK,-8829036.971,5234098.675,West,Dunkirk,2.0,0.0,5.0,1.0,['113/13.8'],['7.5/8.4'],7.0,3086.0,2010-10-07,113.0,13.8,0.0,7.5,8.4,0.0,0.0,0.0,True,3.599243999999999,3.0
217,E.J. WEST HYDRO,-8228717.502,5360512.348,East,Hadley,1.0,0.0,1.0,1.0,['115/13.8'],['6/7.5'],2.0,1225.0,2006-10-05,115.0,13.8,0.0,6.0,7.5,0.0,0.0,0.0,True,,
218,EAGLE BA,,,Central,Inlet,1.0,0.0,2.0,3.0,['46/4.8'],['1.25'],3.0,2129.0,1957-01-01,46.0,4.8,0.0,1.25,0.0,0.0,0.0,0.0,True,,
219,EAGLE HARBOR,-8711091.943,5348014.403,West,Albion,0.0,2.0,2.0,1.0,['34.5/4.8'],['2.5'],4.0,1188.0,1972-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,1.5759839999999998,2.0
220,EAST FULTON SUBSTATION,,,Central,Volney,0.0,1.0,2.0,1.0,['34.5/4.8'],['3.75'],3.0,1402.0,1954-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,
221,EAST GOLAH,-8648798.897,5304136.973,West,Rush,2.0,0.0,6.0,1.0,['115/13.8'],"['15/20/25', '20/26.7/33.3']",8.0,7521.0,2011-05-09,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,21.916488,6.0
222,EAST MOLLOY ROAD,-8471333.292,5326744.474,Central,Dewitt,2.0,0.0,4.0,1.0,['115/13.8'],['15'],6.0,2340.0,2002-07-15,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,11.655467999999999,4.0
