,substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders,_merge
72,37 HUDSON AVE,West,Buffalo,0.0,7.0,11.0,4.0,23/4.16,2.5,18.0,5148.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,6.24,11.0,both
73,38 SPRING,West,Buffalo,0.0,8.0,11.0,4.0,23/4.16,2.5,19.0,2903.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,5.2846144,11.0,both
74,39 WILLIAM,West,Buffalo,0.0,4.0,12.0,4.0,23/4.16,3.75/4.69,16.0,5764.0,1998-01-01,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,5.9155616,12.0,both
75,40 WILLIAM STA,West,Buffalo,0.0,4.0,15.0,4.0,23/4.16,3.75/4.8,19.0,5144.0,1978-01-01,23.0,4.16,0.0,3.75,4.8,0.0,0.0,0.0,True,11.2445216,15.0,both
76,41 STATION 41,West,Buffalo,0.0,8.0,12.0,4.0,23/4.16,2.5,20.0,2044.0,1929-12-13,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.0573728000000004,11.0,both
77,42 OHIO,West,Buffalo,0.0,3.0,5.0,3.0,23/4.16,2.5/3,8.0,164.0,1940-01-03,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,,,left_only
78,43 SENECA ST,West,Buffalo,0.0,4.0,10.0,2.0,22.9/4.36,3.75/4.687,14.0,4559.0,2012-04-20,22.9,4.36,0.0,3.75,4.687,0.0,0.0,0.0,True,6.3536928,9.0,both
79,43 SENECA ST,West,Buffalo,0.0,4.0,10.0,2.0,23/4.16,3.75/4.687,0.0,4559.0,2012-04-20,23.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,6.3536928,9.0,both
80,44 SOUTH PARK,West,Buffalo,0.0,4.0,11.0,2.0,23/4.16,3.75,15.0,7823.0,1997-01-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,9.5457856,11.0,both
81,44 SOUTH PARK,West,Buffalo,0.0,4.0,11.0,1.0,23/4.16,3.75/4.687,0.0,7823.0,1997-01-01,23.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,9.5457856,11.0,both
82,44 SOUTH PARK,West,Buffalo,0.0,4.0,11.0,1.0,23/4.16,3.75/4.69,0.0,7823.0,1997-01-01,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,9.5457856,11.0,both
83,45 STATION 45,West,Buffalo,0.0,4.0,8.0,1.0,23/4.16,2.5/3.13,12.0,3485.0,1956-01-01,23.0,4.16,0.0,2.5,3.13,0.0,0.0,0.0,True,5.2027872,8.0,both
84,45 STATION 45,West,Buffalo,0.0,4.0,8.0,3.0,23/4.16,2.5,0.0,3485.0,1956-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,5.2027872,8.0,both
85,46 STATION 46,West,Buffalo,0.0,4.0,11.0,2.0,22.9/4.16,3.75/4.7,15.0,6347.0,2004-04-19,22.9,4.16,0.0,3.75,4.7,0.0,0.0,0.0,True,6.8460288,10.0,both
86,46 STATION 46,West,Buffalo,0.0,4.0,11.0,2.0,23/4.16,3.75/4.7,0.0,6347.0,2004-04-19,23.0,4.16,0.0,3.75,4.7,0.0,0.0,0.0,True,6.8460288,10.0,both
87,47 STATION 47,West,Tonawanda,0.0,3.0,8.0,3.0,23/4.36,3.75/4.7,11.0,1128.0,2006-01-01,23.0,4.36,0.0,3.75,4.7,0.0,0.0,0.0,True,3.71488,6.0,both
88,48 GELSTON,West,Buffalo,0.0,4.0,10.0,2.0,23/4.16,3.75/4.687,14.0,2957.0,1996-01-01,23.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,4.96723136,11.0,both
89,48 GELSTON,West,Buffalo,0.0,4.0,10.0,2.0,23/4.16,3.75/4.69,0.0,2957.0,1996-01-01,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,4.96723136,11.0,both
90,49 BEST,West,Buffalo,0.0,8.0,12.0,4.0,23/4.16,3.75/4.69,20.0,2020.0,1993-01-01,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,5.65344,11.0,both
91,51 ELK ST,West,Buffalo,0.0,4.0,8.0,4.0,23/4.16,2.5/3,12.0,2011.0,1939-01-01,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,3.7675456,8.0,both
92,52 HERTEL,West,Buffalo,0.0,4.0,12.0,1.0,23/4.16,2.5/3,16.0,2127.0,2010-11-03,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,4.68,10.0,both
93,52 HERTEL,West,Buffalo,0.0,4.0,12.0,2.0,23/4.16,3.75/4.687,0.0,2127.0,2010-11-03,23.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,4.68,10.0,both
94,53 BAILEY,West,Buffalo,0.0,3.0,6.0,3.0,23/4.16,2.5/3.13,9.0,5201.0,1954-01-01,23.0,4.16,0.0,2.5,3.13,0.0,0.0,0.0,True,3.2309472,5.0,both
95,54 MAIN,West,Amherst,2.0,0.0,11.0,1.0,115/4.16,7.5/9.375,13.0,3344.0,1970-07-29,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,5.3885728,9.0,both
96,54 MAIN,West,Amherst,2.0,0.0,11.0,1.0,115/4.16,7.5/9.4,0.0,3344.0,1970-07-29,115.0,4.16,0.0,7.5,9.4,0.0,0.0,0.0,True,5.3885728,9.0,both
97,55 ELECTRIC AVE,,,,,,,,,,,,,,,,,,,,,2.5722528000000002,5.0,right_only
98,56 ELECTRIC AVE,West,Lackawanna,2.0,0.0,7.0,2.0,115/4.16,3.75/4.687,9.0,2129.0,1949-05-07,115.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,,,left_only
99,56 WILLOWDALE & BARTON,West,Tonawanda,0.0,5.0,8.0,1.0,23/4.16,2.5/3.1,13.0,3597.0,1956-10-10,23.0,4.16,0.0,2.5,3.1,0.0,0.0,0.0,True,5.6825600000000005,8.0,both
100,56 WILLOWDALE & BARTON,West,Tonawanda,0.0,5.0,8.0,3.0,23/4.16,2.5/3.13,0.0,3597.0,1956-10-10,23.0,4.16,0.0,2.5,3.13,0.0,0.0,0.0,True,5.6825600000000005,8.0,both
101,57 COLVIN,West,Tonawanda,0.0,3.0,8.0,3.0,23/4.16,3.75/4.2/4.7/5,11.0,4008.0,1973-01-01,23.0,4.16,0.0,3.75,4.2,4.7,5.0,0.0,True,5.57024,7.0,both
102,58 HARLEM RD,West,Amherst,0.0,2.0,8.0,1.0,34.4/4.36,4.2/5.25,10.0,4139.0,2006-01-01,34.4,4.36,0.0,4.2,5.25,0.0,0.0,0.0,True,6.968,7.0,both
103,58 HARLEM RD,West,Amherst,0.0,2.0,8.0,2.0,34.5/4.16,3.75/4.69,0.0,4139.0,2006-01-01,34.5,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,6.968,7.0,both
104,58 HARLEM RD,West,Amherst,0.0,2.0,8.0,1.0,34.5/4.16,3.75/4.69/5.25,0.0,4139.0,2006-01-01,34.5,4.16,0.0,3.75,4.69,5.25,0.0,0.0,True,6.968,7.0,both
105,59 PERRY,West,Buffalo,0.0,3.0,6.0,2.0,23/4.16,2.5/3,9.0,1057.0,1957-01-01,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,,,left_only
106,59 PERRY,West,Buffalo,0.0,3.0,6.0,1.0,23/4.16,2.5/3.13,0.0,1057.0,1957-01-01,23.0,4.16,0.0,2.5,3.13,0.0,0.0,0.0,True,,,left_only
107,60 HAUSAUER RD,West,Amherst,2.0,0.0,7.0,1.0,115/13.8,12/16/20,9.0,5914.0,1969-11-13,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,14.058,7.0,both
108,60 HAUSAUER RD,West,Amherst,2.0,0.0,7.0,1.0,115/13.8,12/16/22.4,0.0,5914.0,1969-11-13,115.0,13.8,0.0,12.0,16.0,22.4,0.0,0.0,True,14.058,7.0,both
109,61 STATION 61,West,Cheektowaga,2.0,0.0,6.0,1.0,115/4.16,7.5/9.375,8.0,5751.0,1957-09-26,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,6.1983584,6.0,both
110,61 STATION 61,West,Cheektowaga,2.0,0.0,6.0,1.0,115/4.16,7.5/9.4,0.0,5751.0,1957-09-26,115.0,4.16,0.0,7.5,9.4,0.0,0.0,0.0,True,6.1983584,6.0,both
111,63 HIGHLAND,West,Tonawanda,0.0,3.0,5.0,1.0,22.9/4.36,4.2/5.25,8.0,3463.0,2010-04-30,22.9,4.36,0.0,4.2,5.25,0.0,0.0,0.0,True,5.5480672,5.0,both
112,63 HIGHLAND,West,Tonawanda,0.0,3.0,5.0,2.0,23/4.16,3.75,0.0,3463.0,2010-04-30,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,5.5480672,5.0,both
113,64 STATION 64,West,Grand Island,2.0,0.0,6.0,1.0,113/13.8,12,8.0,5121.0,1972-05-23,113.0,13.8,0.0,12.0,0.0,0.0,0.0,0.0,True,15.721331999999997,6.0,both
114,64 STATION 64,West,Grand Island,2.0,0.0,6.0,1.0,113/13.8,12/16/22.4,0.0,5121.0,1972-05-23,113.0,13.8,0.0,12.0,16.0,22.4,0.0,0.0,True,15.721331999999997,6.0,both
115,66 UNION RD & MECHANIC ST,West,Cheektowaga,0.0,1.0,1.0,1.0,34.5/4.8,1.5,2.0,230.0,1959-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,0.006384,1.0,both
116,67 STATION 67,West,Amherst,0.0,2.0,2.0,2.0,34.5/4.16,3.75,4.0,902.0,1958-01-20,34.5,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,1.4005056000000002,2.0,both
117,68 ELMWOOD,West,Buffalo,0.0,4.0,10.0,4.0,23/4.16,2.5,14.0,6180.0,1967-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,5.9515872000000005,9.0,both
118,71 S. NEWFANE,West,Newfane,0.0,2.0,2.0,1.0,34.4/5.04,3.75/4.688,4.0,1344.0,2010-03-05,34.4,5.04,0.0,3.75,4.688,0.0,0.0,0.0,True,2.326416,2.0,both
119,74 MILITARY,West,Tonawanda,0.0,7.0,6.0,1.0,23/4.16,2.5/3.12,13.0,3787.0,2003-12-30,23.0,4.16,0.0,2.5,3.12,0.0,0.0,0.0,True,4.82976,6.0,both
120,74 MILITARY,West,Tonawanda,0.0,7.0,6.0,1.0,23/4.16,2.5,0.0,3787.0,2003-12-30,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.82976,6.0,both
121,74 MILITARY,West,Tonawanda,0.0,7.0,6.0,1.0,23/4.16,3,0.0,3787.0,2003-12-30,23.0,4.16,0.0,3.0,0.0,0.0,0.0,0.0,True,4.82976,6.0,both
122,76 SHAWNEE,West,Cambria,2.0,0.0,4.0,1.0,115/13.8,12/16/20,6.0,5813.0,1975-01-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,12.482975999999999,5.0,both
123,77 EAST AVE,West,Tonawanda,0.0,4.0,5.0,2.0,23/4.16,4.725,9.0,2340.0,1998-07-01,23.0,4.16,0.0,4.725,0.0,0.0,0.0,0.0,True,2.85792,5.0,both
124,78 FASSETT ST.,West,North Tonawanda,2.0,7.0,8.0,1.0,115/23,15,17.0,5260.0,1968-09-05,115.0,23.0,0.0,15.0,0.0,0.0,0.0,0.0,True,8.12864,8.0,both
125,78 FASSETT ST.,West,North Tonawanda,2.0,7.0,8.0,1.0,115/23,15/20,0.0,5260.0,1968-09-05,115.0,23.0,0.0,15.0,20.0,0.0,0.0,0.0,True,8.12864,8.0,both
126,78 FASSETT ST.,West,North Tonawanda,2.0,7.0,8.0,1.0,115/23,25,0.0,5260.0,1968-09-05,115.0,23.0,0.0,25.0,0.0,0.0,0.0,0.0,True,8.12864,8.0,both
127,78 FASSETT ST.,West,North Tonawanda,2.0,7.0,8.0,1.0,115/23,30/40/50,0.0,5260.0,1968-09-05,115.0,23.0,0.0,30.0,40.0,50.0,0.0,0.0,True,8.12864,8.0,both
128,78 FASSETT ST.,West,North Tonawanda,2.0,7.0,8.0,2.0,115/23/4.16,7.5,0.0,5260.0,1968-09-05,115.0,23.0,4.16,7.5,0.0,0.0,0.0,0.0,True,8.12864,8.0,both
129,79 RIDGE ST.,West,North Tonawanda,0.0,3.0,6.0,3.0,23/4.16,2.5,9.0,2728.0,1958-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,3.6330528,5.0,both
130,80 EIGHTH STREET,West,Niagara Falls,0.0,3.0,5.0,3.0,12/4.16,3.5,8.0,1972.0,1951-01-01,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,2.1091200000000003,3.0,both
131,81 BEACH AVE,West,Niagara Falls,0.0,6.0,7.0,3.0,12/4.16,3.5,13.0,3076.0,1949-01-01,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,5.1930944,7.0,both
132,82 11TH ST,West,Niagara Falls,0.0,6.0,8.0,1.0,12/4.16,3.5,14.0,4307.0,2011-11-28,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,2.9605056,7.0,both
133,82 11TH ST,West,Niagara Falls,0.0,6.0,8.0,2.0,12/4.16,3.5,0.0,4307.0,2011-11-28,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,2.9605056,7.0,both
134,83 WELCH AVE,West,Niagara Falls,0.0,8.0,8.0,3.0,12/4.16,3.5,16.0,4136.0,1949-01-01,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,3.2767072,5.0,both
135,85 STEPHENSON AVE,West,Niagara Falls,0.0,6.0,8.0,3.0,12/4.8,3.5,14.0,3549.0,1968-01-01,12.0,4.8,0.0,3.5,0.0,0.0,0.0,0.0,True,4.985616,6.0,both
136,86 LEWISTON HEIGHTS,West,Lewiston,0.0,2.0,2.0,1.0,34.5/4.8,4.6/5.25,4.0,909.0,2004-08-06,34.5,4.8,0.0,4.6,5.25,0.0,0.0,0.0,True,1.0880159999999999,2.0,both
137,87 LEWISTON,West,Lewiston,0.0,2.0,3.0,1.0,34.5/4.8,3.75/4.69,5.0,1355.0,2005-12-01,34.5,4.8,0.0,3.75,4.69,0.0,0.0,0.0,True,2.4351839999999996,2.0,both
138,88 YOUNGSTOWN,West,Porter,0.0,2.0,2.0,1.0,34.4/5.04,3.75/4.688,4.0,1230.0,2012-05-30,34.4,5.04,0.0,3.75,4.688,0.0,0.0,0.0,True,1.944,2.0,both
139,89 RANSOMVILLE,West,Wilson,0.0,2.0,2.0,1.0,34.5/4.8,3.75,4.0,1833.0,2004-04-26,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.6976,2.0,both
140,93 WILSON,West,Wilson,0.0,2.0,3.0,1.0,34.5/4.8,3.75,5.0,2129.0,2013-01-17,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,3.8495999999999997,3.0,both
141,97 SUMMIT PARK,West,Wheatfield,2.0,0.0,8.0,2.0,113/13.8,12/16/22.4,10.0,5767.0,1971-09-13,113.0,13.8,0.0,12.0,16.0,22.4,0.0,0.0,True,12.223199999999999,8.0,both
142,AKWESASNE,Central,Massena,1.0,2.0,3.0,1.0,115/34.5,20/26.67/33.33,6.0,670.0,2008-06-21,115.0,34.5,0.0,20.0,26.67,33.33,0.0,0.0,True,,,left_only
143,AKWESASNE,Central,Massena,1.0,2.0,3.0,1.0,115/4.8,10/12.5,0.0,670.0,2008-06-21,115.0,4.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,,left_only
144,ALBION,West,Albion,0.0,3.0,4.0,1.0,34.5/4.8,3.75,7.0,2368.0,1996-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,3.3407999999999998,4.0,both
145,ALBION,West,Albion,0.0,3.0,4.0,1.0,34.5/4.8,3.75/5.25,0.0,2368.0,1996-01-01,34.5,4.8,0.0,3.75,5.25,0.0,0.0,0.0,True,3.3407999999999998,4.0,both
146,ALDER CREEK,Central,Boonville,0.0,2.0,1.0,1.0,43.8/13.8,3.75/4.2,3.0,2126.0,1975-01-01,43.8,13.8,0.0,3.75,4.2,0.0,0.0,0.0,True,,,left_only
147,ALDER CREEK,Central,Boonville,0.0,2.0,1.0,3.0,46/4.8,0.5,0.0,2126.0,1975-01-01,46.0,4.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,,left_only
148,ALTAMONT,East,Guilderland,2.0,1.0,3.0,1.0,115/13.8,12/16/20,6.0,5257.0,1975-01-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,,left_only
149,ALTAMONT,East,Guilderland,2.0,1.0,3.0,3.0,115/34.5,5,0.0,5257.0,1975-01-01,115.0,34.5,0.0,5.0,0.0,0.0,0.0,0.0,True,,,left_only
150,ANDOVER,West,Andover,2.0,0.0,2.0,1.0,115/34.5,20/26.7,4.0,516.0,1957-08-27,115.0,34.5,0.0,20.0,26.7,0.0,0.0,0.0,True,,,left_only
151,ANDOVER,West,Andover,2.0,0.0,2.0,1.0,34.5/4.8,1,0.0,516.0,1957-08-27,34.5,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,,,left_only
152,ANTWERP,Central,Amtwerp,0.0,1.0,1.0,1.0,23/4.8,3.75,2.0,638.0,1994-01-01,23.0,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,,left_only
153,ARNOLD,Central,Utica,0.0,1.0,2.0,1.0,43.8/13.8,5/6.250,3.0,1969.0,1966-01-01,43.8,13.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,,left_only
154,ARNOLD,Central,Utica,0.0,1.0,2.0,1.0,46/4.16,5/6.250,0.0,1969.0,1966-01-01,46.0,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,,left_only
155,ASH STREET,Central,Syracuse,3.0,1.0,3.0,2.0,115/12,24/32/40,7.0,10413.0,1993-01-01,115.0,12.0,0.0,24.0,32.0,40.0,0.0,0.0,True,51.2263655,27.0,both
156,ASH STREET,Central,Syracuse,3.0,1.0,3.0,1.0,115/13.8,20/26.7/33.3,0.0,10413.0,1993-01-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,51.2263655,27.0,both
157,ASH STREET,Central,Syracuse,3.0,1.0,3.0,1.0,115/34.5,30/40/50,0.0,10413.0,1993-01-01,115.0,34.5,0.0,30.0,40.0,50.0,0.0,0.0,True,51.2263655,27.0,both
158,ASH STREET,Central,Syracuse,3.0,1.0,3.0,1.0,115/34.5,30/40/50/56,0.0,10413.0,1993-01-01,115.0,34.5,0.0,30.0,40.0,50.0,56.0,0.0,True,51.2263655,27.0,both
159,ASH STREET,Central,Syracuse,3.0,1.0,3.0,1.0,115/13.8,20/26.7/33.3,0.0,10413.0,1993-01-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,51.2263655,27.0,both
160,ASH STREET,Central,Syracuse,3.0,1.0,3.0,1.0,34.5/4.16,7.5/9.375,0.0,10413.0,1993-01-01,34.5,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,51.2263655,27.0,both
161,ASH STREET,Central,Syracuse,3.0,1.0,3.0,2.0,34.5/4.16,7.5/9.4,0.0,10413.0,1993-01-01,34.5,4.16,0.0,7.5,9.4,0.0,0.0,0.0,True,51.2263655,27.0,both
162,ASHLEY,East,Fort Ann,0.0,1.0,1.0,1.0,34.5/13.8,7.5,2.0,1237.0,1991-01-01,34.5,13.8,0.0,7.5,0.0,0.0,0.0,0.0,True,,,left_only
163,ATTICA STATION,West,Attica,0.0,4.0,3.0,1.0,34.5/4.8,5/6.25,7.0,2616.0,1965-01-01,34.5,4.8,0.0,5.0,6.25,0.0,0.0,0.0,True,4.0464,3.0,both
164,AUSABLE FORKS,Central,Black Brook,0.0,1.0,1.0,1.0,46/4.8,2.5,2.0,646.0,2005-11-07,46.0,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,,left_only
165,AVENUE A,East,Albany,0.0,2.0,6.0,2.0,34.5/4.16,5/6.25,8.0,3649.0,1958-01-01,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,,left_only
166,AVON,West,Avon,0.0,1.0,3.0,1.0,34.5/4.8,3.75,4.0,2678.0,1960-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.315232,3.0,both
167,BALLINA,Central,Cazenovia,1.0,0.0,1.0,1.0,34.5/13.8,5.6,2.0,1406.0,1982-01-01,34.5,13.8,0.0,5.6,0.0,0.0,0.0,0.0,True,2.459556,1.0,both
168,BALLSTON,East,Ballston Spa,2.0,5.0,4.0,1.0,115/13.8,12/16/22.4,11.0,6947.0,2002-08-02,115.0,13.8,0.0,12.0,16.0,22.4,0.0,0.0,True,,,left_only
169,BALLSTON,East,Ballston Spa,2.0,5.0,4.0,1.0,115/34.5/13.8,30/40/50,0.0,6947.0,2002-08-02,115.0,34.5,13.8,30.0,40.0,50.0,0.0,0.0,True,,,left_only
170,BALMAT,Central,Fowler,1.0,2.0,1.0,3.0,23/.277/.480,1,4.0,647.0,2003-03-20,23.0,0.277,0.48,1.0,0.0,0.0,0.0,0.0,True,,,left_only
171,BARKER STATION,West,Somerset,0.0,2.0,3.0,1.0,34.5/4.8,3.75,5.0,1407.0,1976-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.7887999999999997,3.0,both
172,BARTELL,Central,Cicero,2.0,1.0,3.0,1.0,115/13.8,15/20/25,6.0,7326.0,1990-01-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,14.524356,3.0,both
173,BASOM STATION,West,Alabama,0.0,2.0,2.0,2.0,34.5/4.8,1.5,4.0,787.0,1953-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,0.814416,2.0,both
174,BATAVIA STATION,West,Batavia,4.0,3.0,4.0,2.0,115/13.8,20/26.7/33.3,11.0,7437.0,1964-07-15,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,22.264044,7.0,both
175,BATAVIA STATION,West,Batavia,4.0,3.0,4.0,2.0,115/34.5,15/20,0.0,7437.0,1964-07-15,115.0,34.5,0.0,15.0,20.0,0.0,0.0,0.0,True,22.264044,7.0,both
176,BATTENKILL,East,Easton,3.0,2.0,4.0,1.0,115/34.5/13.8,30/40/50,9.0,4940.0,1966-02-17,115.0,34.5,13.8,30.0,40.0,50.0,0.0,0.0,True,,,left_only
177,BATTENKILL,East,Easton,3.0,2.0,4.0,1.0,115/13.8,12/16/20,0.0,4940.0,1966-02-17,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,,left_only
178,BELMONT,Central,Clay,2.0,0.0,7.0,1.0,115/13.8,20/26/33,9.0,11169.0,2001-12-01,115.0,13.8,0.0,20.0,26.0,33.0,0.0,0.0,True,19.329155999999998,7.0,both
179,BELMONT,Central,Clay,2.0,0.0,7.0,1.0,116/13.8,18/24/30,0.0,11169.0,2001-12-01,116.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,19.329155999999998,7.0,both
180,BENNETT RD.,West,Dunkirk,2.0,0.0,6.0,1.0,115/13.8,12/16/20,8.0,5220.0,1971-09-22,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,11.2464,6.0,both
181,BENNETT RD.,West,Dunkirk,2.0,0.0,6.0,1.0,115/13.8,13.4/17.9/22.4,0.0,5220.0,1971-09-22,115.0,13.8,0.0,13.4,17.9,22.4,0.0,0.0,True,11.2464,6.0,both
182,BERRY ROAD,West,Pomfret,2.0,0.0,3.0,1.0,115/13.8,15/20/25,5.0,6429.0,1991-12-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,3.9335999999999993,2.0,both
183,BETHLEHEM,East,Bethlehem,2.0,5.0,3.0,1.0,115/13.8,15/20/25,10.0,3686.0,2011-04-07,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,,left_only
184,BETHLEHEM,East,Bethlehem,2.0,5.0,3.0,1.0,115/34.4/13.8,30/40/50,0.0,3686.0,2011-04-07,115.0,34.4,13.8,30.0,40.0,50.0,0.0,0.0,True,,,left_only
185,BETHLEHEM,East,Bethlehem,2.0,5.0,3.0,1.0,115/34.5/4.8,30/40/50,0.0,3686.0,2011-04-07,115.0,34.5,4.8,30.0,40.0,50.0,0.0,0.0,True,,,left_only
186,BIRCH AVENUE,East,Lake George,0.0,2.0,2.0,1.0,34.5/13.8,10/12.5,4.0,2543.0,1996-01-01,34.5,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,,left_only
187,BLOOMINGDALE MOBILE SUB,Central,St. Armand,4.0,0.0,1.0,1.0,46/4.8,2.5,5.0,892.0,2004-03-01,46.0,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,,left_only
188,BLUE STORES,East,Livingston,2.0,0.0,3.0,1.0,115/13.8,12/16/20,5.0,5221.0,1971-01-21,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,,left_only
189,BOLTON,East,Bolton,0.0,1.0,3.0,1.0,34.4/13.8,10/12.5,4.0,3963.0,1985-01-01,34.4,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,,left_only
190,BOMBAY E.S.,Central,Bombay,0.0,2.0,1.0,1.0,34.5/4.8,2.5,3.0,619.0,2003-10-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,,left_only
191,BOYNTONVILLE,East,Pittstown,0.0,1.0,1.0,1.0,115/13.8,7.5,2.0,2139.0,1963-01-01,115.0,13.8,0.0,7.5,0.0,0.0,0.0,0.0,True,,,left_only
192,BRADY,Central,Madrid,2.0,0.0,1.0,1.0,115/13.8,15/20/25,3.0,4205.0,1994-10-06,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,,left_only
193,BRASHER,Central,Brasher,0.0,2.0,2.0,3.0,34.5/4.8,2,4.0,1367.0,2006-07-28,34.5,4.8,0.0,2.0,0.0,0.0,0.0,0.0,True,,,left_only
194,BREMEN,Central,New Bremen,2.0,0.0,2.0,1.0,110/13.8,5/6.25/7,4.0,2631.0,1966-01-01,110.0,13.8,0.0,5.0,6.25,7.0,0.0,0.0,True,,,left_only
195,BREWERTON,Central,Cicero,0.0,1.0,2.0,1.0,34.5/4.8,3.75,3.0,563.0,1957-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,1.1007840000000002,1.0,both
196,BRIDGE ST.,Central,Dewitt,2.0,0.0,4.0,1.0,115/13.8,18/24/33.6,6.0,1623.0,1975-01-01,115.0,13.8,0.0,18.0,24.0,33.6,0.0,0.0,True,13.195775999999999,4.0,both
197,BRIDGEPORT,Central,Sullivan,1.0,0.0,2.0,1.0,113/13.8,13.4/17.9/22.4,3.0,5727.0,2004-06-22,113.0,13.8,0.0,13.4,17.9,22.4,0.0,0.0,True,7.845155999999999,3.0,both
198,BRIER HILL,Central,Morristown,0.0,1.0,1.0,1.0,23/4.8,1,2.0,636.0,1969-01-01,23.0,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,,,left_only
199,BRIGHTON AVE,Central,Syracuse,4.0,1.0,5.0,6.0,34.5/4.16,2,10.0,5236.0,1929-01-01,34.5,4.16,0.0,2.0,0.0,0.0,0.0,0.0,True,,,left_only
200,BROCKPORT,West,Sweden,2.0,3.0,5.0,1.0,115/13.8,13.4/17.9/22.4,10.0,10233.0,1973-07-31,115.0,13.8,0.0,13.4,17.9,22.4,0.0,0.0,True,16.134756,5.0,both
