substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
MAPLEWOOD,East,Colonie,3,6,4,1,115/13.8,15/20/25,13,6407,2007-07-10,115.0,13.8,0.0,15,20,25,0,0,True
MAPLEWOOD,East,Colonie,3,6,4,1,115/34.4/13.8,30/40/50,0,6407,2007-07-10,115.0,34.4,13.8,30,40,50,0,0,True
MARKET HILL,East,Amsterdam,0,2,6,2,69/4.16,5/6.25,8,3598,1960-08-01,69.0,4.16,0.0,5,6.25,0,0,0,True
MAYFIELD,East,Mayfield,0,3,1,1,69/13.8,7.5/8.4/10.5,4,2968,1968-04-11,69.0,13.8,0.0,7.5,8.4,10.5,0,0,True
MC ADOO,Central,Canton,2,0,3,1,115/13.8,12/13.4,5,2675,1975-12-01,115.0,13.8,0.0,12,13.4,0,0,0,True
MC CLELLAN,East,Schenectady,0,2,2,1,34.5/13.8,10,4,5361,1996-01-01,34.5,13.8,0.0,10,0,0,0,0,True
MC CREA ST.,East,Ft Edward,0,1,1,1,34.5/4.8,3/3.75,2,1054,1950-01-01,34.5,4.8,0.0,3,3.75,0,0,0,True
MCGRAW,Central,Cortland,0,1,1,3,34.5/4.8,0.83,2,1210,1959-01-01,34.5,4.8,0.0,0.83,0,0,0,0,True
McKOWNVILLE,East,Guilderland,2,0,7,1,113/13.8,12/16/22,9,4762,1969-12-09,113.0,13.8,0.0,12,16,22,0,0,True
McKOWNVILLE,East,Guilderland,2,0,7,1,115/13.8,15,0,4762,1969-12-09,115.0,13.8,0.0,15,0,0,0,0,True
MENANDS,East,Colonie,5,7,11,1,115/13.8,12/16/20/22.4,23,8830,1974-05-05,115.0,13.8,0.0,12,16,20,22.4,0,True
MENANDS,East,Colonie,5,7,11,1,115/13.8,15/20/25,0,8830,1974-05-05,115.0,13.8,0.0,15,20,25,0,0,True
MENANDS,East,Colonie,5,7,11,1,115/34.5/4.8,30/40/50,0,8830,1974-05-05,115.0,34.5,4.8,30,40,50,0,0,True
MENANDS,East,Colonie,5,7,11,1,115/34.5/8.6,20/26.7,0,8830,1974-05-05,115.0,34.5,8.6,20,26.7,0,0,0,True
MENANDS,East,Colonie,5,7,11,1,115/4.16,7.5/9.375,0,8830,1974-05-05,115.0,4.16,0.0,7.5,9.375,0,0,0,True
MENANDS,East,Colonie,5,7,11,1,13.2/4.16,6,0,8830,1974-05-05,13.2,4.16,0.0,6,0,0,0,0,True
MERRILLVILLE,Central,Franklin,0,1,1,1,46/2.4,1.67,2,73,1984-01-01,46.0,2.4,0.0,1.67,0,0,0,0,True
